missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.0003654580796137452,1.0,0.000352996401488781,1.0,0.00036142117460258305,1.0
1,[4],"[13, 29]",0.000490805075969547,1.0,0.0003448630450293422,1.0,0.0003485376655589789,1.0
2,"[2, 4]","[13, 14, 29, 30]",0.0003729584568645805,1.0,0.0003262805112171918,1.0,0.0004290348442737013,1.0
3,"[7, 0, 2]","[14, 6, 2, 30, 22, 18]",0.00029359638574533165,1.0,0.00038717559073120356,1.0,0.0002977279946208,1.0
4,"[5, 3, 2, 0]","[13, 4, 3, 8, 29, 20, 19, 24]",0.0004255315288901329,1.0,0.0005930593470111489,1.0,0.0003411188954487443,1.0
5,"[2, 10, 1, 13, 12]","[3, 5, 4, 7, 8, 19, 21, 20, 23, 24]",0.0003066783247049898,1.0,0.0005164507310837507,1.0,0.0003982488706242293,1.0
6,"[9, 10, 0, 14, 5, 7]","[0, 4, 10, 7, 12, 11, 16, 20, 26, 23, 28, 27]",0.0003123378846794367,1.0,0.0003315652720630169,1.0,0.00045111612416803837,1.0
7,"[8, 12, 14, 15, 7, 6, 9]","[14, 5, 11, 12, 15, 0, 13, 30, 21, 27, 28, 31, 16, 29]",0.00034688544110395014,1.0,0.11487685143947601,0.9692307710647583,0.024273168295621872,1.0
8,"[2, 5, 9, 3, 8, 6, 14, 13]","[11, 13, 12, 14, 0, 7, 9, 10, 27, 29, 28, 30, 16, 23, 25, 26]",0.0004406874650157988,1.0,0.0007724217721261084,1.0,0.000533086946234107,1.0
9,"[8, 13, 15, 1, 12, 9, 7, 6, 14]","[10, 11, 4, 1, 8, 6, 14, 2, 9, 26, 27, 20, 17, 24, 22, 30, 18, 25]",0.00035138012026436627,1.0,0.00043254398042336106,1.0,0.00031046755611896515,1.0
10,"[7, 15, 8, 11, 4, 2, 13, 3, 6, 0]","[0, 11, 9, 1, 14, 12, 8, 15, 10, 13, 16, 27, 25, 17, 30, 28, 24, 31, 26, 29]",0.0003210328286513686,1.0,0.12235568463802338,0.9692307710647583,0.0729605183005333,0.9692307710647583
11,"[4, 10, 15, 7, 11, 6, 3, 13, 14, 5, 0]","[7, 3, 2, 14, 1, 6, 5, 4, 15, 11, 9, 23, 19, 18, 30, 17, 22, 21, 20, 31, 27, 25]",0.000454366352641955,1.0,0.0005244219792075455,1.0,0.001174597186036408,1.0
12,"[2, 11, 10, 5, 4, 9, 14, 0, 6, 7, 8, 3]","[4, 9, 13, 10, 6, 11, 12, 14, 1, 2, 0, 8, 20, 25, 29, 26, 22, 27, 28, 30, 17, 18, 16, 24]",0.00047399415052495897,1.0,0.00045001390390098095,1.0,0.0012150630354881287,1.0
13,"[8, 5, 6, 4, 9, 11, 14, 7, 13, 1, 10, 12, 15]","[5, 4, 14, 7, 1, 10, 6, 8, 0, 15, 3, 11, 13, 21, 20, 30, 23, 17, 26, 22, 24, 16, 31, 19, 27, 29]",0.002841965528205037,1.0,0.0032909114379435778,1.0,0.038059528917074203,0.9846153855323792
14,"[8, 10, 14, 12, 6, 7, 4, 13, 5, 9, 3, 15, 2, 0]","[11, 3, 10, 6, 4, 7, 14, 9, 1, 8, 13, 5, 12, 2, 27, 19, 26, 22, 20, 23, 30, 25, 17, 24, 29, 21, 28, 18]",0.0017564971931278706,1.0,0.0006092998082749546,1.0,0.029168717563152313,1.0
15,"[12, 7, 4, 1, 0, 8, 9, 3, 10, 15, 2, 14, 5, 13, 6]","[4, 6, 1, 0, 12, 9, 10, 7, 11, 8, 15, 3, 13, 5, 14, 20, 22, 17, 16, 28, 25, 26, 23, 27, 24, 31, 19, 29, 21, 30]",0.025148088112473488,0.9846153855323792,0.26974576711654663,0.9076923131942749,1.3635447025299072,0.4307692348957062
