missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.01647973619401455,1.0,0.017069876194000244,0.9848484992980957,0.000678198121022433,1.0
1,[6],"[11, 27]",0.02408367022871971,0.9848484992980957,0.021927421912550926,0.9848484992980957,0.00579741271212697,1.0
2,"[4, 10]","[14, 13, 30, 29]",0.008550908416509628,1.0,0.02452149987220764,0.9848484992980957,0.01150429155677557,1.0
3,"[9, 2, 1]","[14, 13, 3, 30, 29, 19]",0.04071969911456108,0.9848484992980957,0.01122964732348919,1.0,0.0258884746581316,0.9848484992980957
4,"[8, 4, 12, 7]","[15, 7, 6, 1, 31, 23, 22, 17]",0.022825052961707115,0.9848484992980957,0.0012009638594463468,1.0,0.01771397702395916,0.9848484992980957
5,"[4, 11, 15, 2, 3]","[2, 14, 7, 6, 5, 18, 30, 23, 22, 21]",0.022425713017582893,0.9848484992980957,0.002515892731025815,1.0,0.022105807438492775,0.9848484992980957
6,"[0, 1, 7, 8, 15, 10]","[7, 12, 13, 6, 15, 10, 23, 28, 29, 22, 31, 26]",0.03479520604014397,0.9848484992980957,0.027404092252254486,0.9848484992980957,0.036275409162044525,0.9848484992980957
7,"[8, 14, 7, 9, 1, 10, 3]","[6, 15, 10, 14, 8, 2, 9, 22, 31, 26, 30, 24, 18, 25]",0.024130698293447495,0.9848484992980957,0.02893165685236454,0.9848484992980957,0.003657054388895631,1.0
8,"[10, 3, 15, 0, 12, 13, 2, 5]","[2, 9, 14, 15, 5, 10, 11, 4, 18, 25, 30, 31, 21, 26, 27, 20]",0.036036405712366104,0.9848484992980957,0.02991052158176899,0.9848484992980957,0.11687975376844406,0.9545454382896423
9,"[13, 0, 3, 5, 11, 10, 1, 9, 2]","[2, 4, 12, 3, 14, 6, 15, 8, 9, 18, 20, 28, 19, 30, 22, 31, 24, 25]",0.033271972090005875,0.9848484992980957,0.11117608100175858,0.9696969985961914,0.08171012997627258,0.9848484992980957
10,"[2, 3, 9, 14, 8, 10, 15, 6, 12, 11]","[8, 1, 9, 15, 0, 4, 14, 7, 13, 3, 24, 17, 25, 31, 16, 20, 30, 23, 29, 19]",0.05337987840175629,0.9848484992980957,0.03448896482586861,0.9848484992980957,0.08674764633178711,0.9848484992980957
11,"[10, 14, 0, 7, 8, 13, 11, 1, 12, 5, 9]","[12, 4, 2, 13, 15, 8, 7, 14, 5, 3, 0, 28, 20, 18, 29, 31, 24, 23, 30, 21, 19, 16]",0.013545705005526543,1.0,0.026950214058160782,0.9848484992980957,0.05564406141638756,0.9848484992980957
12,"[15, 13, 9, 11, 5, 8, 1, 7, 4, 3, 0, 10]","[5, 1, 7, 8, 9, 15, 2, 6, 3, 11, 13, 14, 21, 17, 23, 24, 25, 31, 18, 22, 19, 27, 29, 30]",0.06579074263572693,0.9848484992980957,0.040843747556209564,0.9848484992980957,0.1371498554944992,0.9696969985961914
13,"[8, 4, 9, 11, 12, 10, 1, 13, 14, 7, 3, 6, 0]","[8, 3, 11, 12, 14, 6, 9, 5, 2, 0, 4, 1, 7, 24, 19, 27, 28, 30, 22, 25, 21, 18, 16, 20, 17, 23]",0.022460205480456352,0.9848484992980957,0.060947272926568985,0.9848484992980957,0.08677433431148529,0.9696969985961914
14,"[13, 14, 0, 1, 15, 7, 2, 3, 4, 10, 8, 11, 5, 12]","[14, 15, 13, 4, 0, 7, 3, 1, 9, 12, 5, 11, 8, 6, 30, 31, 29, 20, 16, 23, 19, 17, 25, 28, 21, 27, 24, 22]",0.13605625927448273,0.9696969985961914,0.08473799377679825,0.9848484992980957,0.5690785646438599,0.8333333134651184
15,"[1, 8, 0, 3, 6, 11, 15, 5, 2, 9, 7, 13, 12, 4, 14]","[2, 11, 9, 3, 13, 14, 4, 0, 6, 7, 15, 5, 1, 12, 8, 18, 27, 25, 19, 29, 30, 20, 16, 22, 23, 31, 21, 17, 28, 24]",0.10713494569063187,0.9696969985961914,0.13988257944583893,0.9545454382896423,1.7015080451965332,0.39393940567970276
