missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.14819458925914228,0.004638657717984382,0.13041248132917807,0.00440002935723624,0.1431445922477426,0.004341873269662849
1,[7],[1],0.14080569992338976,0.004634826565067555,0.13316789907049853,0.004060878956737427,0.13791729033737446,0.004470297987517639
2,"[5, 15]","[7, 6]",0.15036407960977843,0.004627635364498837,0.14711961699840775,0.004595791028118893,0.14246796352469032,0.005312488927895923
3,"[15, 11, 8]","[11, 4, 5]",0.14904131293898956,0.004812131703243826,0.13507108419138572,0.005330978260403445,0.146103740429242,0.004780020028759176
4,"[5, 11, 15, 6]","[15, 1, 6, 9]",0.14856432346935952,0.004543688935164886,0.13893576120625833,0.004908570118394749,0.14453137021755946,0.004583556824574626
5,"[2, 1, 0, 12, 3]","[4, 10, 13, 14, 3]",0.12804694870065733,0.005961487205530191,0.13767420851688325,0.005196155097965193,0.11596557260142606,0.005101136498550935
6,"[4, 5, 2, 11, 10, 8]","[6, 9, 5, 0, 14, 4]",0.15412416932350834,0.005147337297849469,0.14680071371477252,0.004453544282676135,0.16248882849275514,0.005429798846155824
7,"[12, 5, 13, 7, 8, 11, 6]","[13, 14, 3, 10, 6, 12, 7]",0.15634533604368264,0.004655523025982384,0.14682997508970416,0.004721348454716264,0.15458277814067067,0.004554164755595678
8,"[9, 11, 7, 5, 3, 12, 4, 10]","[0, 7, 11, 2, 15, 3, 13, 1]",0.12810784819107396,0.004151313990378335,0.1573947515479539,0.006188451172811677,0.148089481324323,0.006119718726755834
9,"[15, 4, 6, 3, 0, 5, 12, 8, 2]","[6, 3, 8, 13, 15, 7, 4, 0, 11]",0.1518843030781673,0.006124587076726251,0.1611012364880001,0.00559546449105495,0.163368978278706,0.0052574483942906146
10,"[12, 9, 6, 14, 0, 4, 13, 15, 8, 3]","[12, 3, 4, 8, 11, 0, 9, 2, 15, 14]",0.13719897541685058,0.005123290800291649,0.14189518536392667,0.005350047847350542,0.15785072879809608,0.005142972312270587
11,"[5, 13, 11, 14, 3, 1, 8, 12, 15, 2, 0]","[8, 7, 10, 14, 11, 2, 13, 12, 1, 5, 6]",0.17482647874403293,0.0058978569172938936,0.13827320029475307,0.0048107522252795794,0.21274837808366215,0.0062421278473304585
12,"[8, 2, 11, 12, 3, 10, 7, 4, 5, 6, 15, 13]","[12, 6, 3, 9, 15, 8, 4, 0, 13, 1, 11, 14]",0.15916774153205876,0.00465724496946323,0.18012097307758915,0.005212951185028586,0.25955766134325137,0.007292575175007913
13,"[3, 11, 0, 13, 5, 14, 12, 4, 7, 1, 9, 10, 15]","[7, 0, 1, 6, 10, 14, 8, 15, 3, 12, 5, 4, 2]",0.14702190318480884,0.005239284965373237,0.20032801166348246,0.008447668118952907,0.2686552917571101,0.011131101266571884
14,"[13, 9, 11, 7, 4, 14, 8, 3, 5, 0, 2, 12, 1, 15]","[0, 11, 1, 8, 6, 2, 13, 5, 15, 7, 3, 12, 14, 9]",0.20215954793527433,0.006797611046876115,0.20217032922985353,0.007324572314354255,0.40292472819096437,0.01519190719848854
15,"[7, 1, 0, 15, 12, 2, 8, 4, 9, 3, 11, 10, 13, 5, 6]","[15, 12, 2, 7, 1, 11, 9, 13, 8, 4, 14, 0, 5, 10, 6]",0.2733790540829627,0.009513694575313467,0.21541698798082226,0.006618322600952626,0.8958943583371338,0.03501725321518267
