experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.302748918392351,1.2961110403509042,3372292,38.827009201049805
no_transformer,True,"[64, 128]",False,4,128,False,0.4472202017060344,1.8388655607571391,2180868,24.99992275238037
no_cnn,False,"[64, 128]",True,4,128,True,0.3839897027153459,1.3254272608037,3037700,34.98792743682861
no_pos,True,"[64, 128]",True,4,128,False,0.262188849079211,1.2869953422266356,3370244,38.80262088775635
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3558949235116185,1.2846595721054352,3185540,36.689799308776855
bigger_cnn,True,"[128, 256]",True,4,128,True,0.2389523812669309,1.2948232860565658,3856388,44.367051124572754
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.2970328359217296,1.3481976329836696,2777604,31.92626953125
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.390897132218529,1.2872587491368723,3966980,45.73127746582031
projected_dim_64,True,"[64, 128]",True,4,64,True,0.3101339017630505,1.291137335760692,1461956,16.964879989624023
projected_dim_256,True,"[64, 128]",True,4,256,True,0.6078190547991402,1.3831994579353497,8765828,100.5511360168457
small_default,True,"[32, 64]",True,2,64,True,0.3566344140597788,1.3252165419421142,1174340,13.578333854675291
big_default,True,"[128, 256]",True,6,256,True,0.9192848491387878,1.4127681422924825,11749764,134.79818058013916
