missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.001522695180028677,1.0,0.0011604739120230079,1.0,0.0005998695851303637,1.0
1,[3],"[6, 22]",0.00922783836722374,1.0,0.004365262575447559,1.0,0.006024665664881468,1.0
2,"[12, 15]","[10, 3, 26, 19]",0.008762727491557598,1.0,0.0012568857055157423,1.0,0.0012019664281979203,1.0
3,"[13, 5, 3]","[11, 4, 15, 27, 20, 31]",0.006863643880933523,1.0,0.002291877754032612,1.0,0.0024423436261713505,1.0
4,"[14, 9, 7, 12]","[3, 8, 1, 9, 19, 24, 17, 25]",0.0005070976912975311,1.0,0.01643344573676586,0.9848484992980957,0.005995171144604683,1.0
5,"[3, 14, 9, 0, 10]","[14, 6, 0, 8, 9, 30, 22, 16, 24, 25]",0.0006431351648643613,1.0,0.001943378709256649,1.0,0.0008613994577899575,1.0
6,"[4, 0, 1, 8, 2, 6]","[14, 15, 0, 12, 3, 9, 30, 31, 16, 28, 19, 25]",0.004852327983826399,1.0,0.05794311687350273,0.9848484992980957,0.020652256906032562,0.9848484992980957
7,"[8, 0, 9, 5, 14, 6, 12]","[9, 0, 10, 14, 3, 12, 5, 25, 16, 26, 30, 19, 28, 21]",0.010182430036365986,1.0,0.0016900327755138278,1.0,0.006912196986377239,1.0
8,"[3, 1, 8, 7, 13, 5, 6, 11]","[14, 6, 8, 5, 11, 13, 0, 1, 30, 22, 24, 21, 27, 29, 16, 17]",0.01809755153954029,0.9848484992980957,0.0036266918759793043,1.0,0.0011835632612928748,1.0
9,"[12, 10, 4, 13, 15, 2, 11, 9, 0]","[15, 8, 13, 1, 2, 7, 12, 3, 10, 31, 24, 29, 17, 18, 23, 28, 19, 26]",0.013927362859249115,1.0,0.06509578973054886,0.9696969985961914,0.041606541723012924,0.9848484992980957
10,"[11, 14, 4, 0, 12, 10, 13, 9, 8, 15]","[2, 10, 7, 0, 4, 15, 5, 8, 13, 9, 18, 26, 23, 16, 20, 31, 21, 24, 29, 25]",0.006786050274968147,1.0,0.010825950652360916,1.0,0.016637856140732765,1.0
11,"[9, 7, 0, 1, 10, 14, 2, 5, 15, 11, 6]","[9, 7, 2, 4, 1, 8, 11, 10, 5, 3, 15, 25, 23, 18, 20, 17, 24, 27, 26, 21, 19, 31]",0.0024047407787293196,1.0,0.00583294965326786,1.0,0.10311781615018845,0.9696969985961914
12,"[5, 7, 2, 12, 6, 11, 10, 13, 4, 3, 0, 9]","[0, 13, 6, 3, 14, 11, 2, 7, 8, 4, 1, 9, 16, 29, 22, 19, 30, 27, 18, 23, 24, 20, 17, 25]",0.002018444938585162,1.0,0.0007427833625115454,1.0,0.001293168985284865,1.0
13,"[5, 15, 12, 9, 6, 10, 14, 7, 1, 8, 4, 13, 3]","[7, 13, 11, 14, 5, 3, 2, 10, 0, 12, 9, 8, 15, 23, 29, 27, 30, 21, 19, 18, 26, 16, 28, 25, 24, 31]",0.08011109381914139,0.9696969985961914,0.42920899391174316,0.8787878751754761,0.8579137325286865,0.6363636255264282
14,"[1, 10, 8, 9, 14, 3, 4, 2, 13, 15, 11, 6, 5, 7]","[10, 15, 13, 8, 14, 5, 12, 6, 4, 9, 2, 1, 7, 3, 26, 31, 29, 24, 30, 21, 28, 22, 20, 25, 18, 17, 23, 19]",0.004107741639018059,1.0,0.06578259915113449,0.9696969985961914,0.46627527475357056,0.8484848737716675
15,"[4, 2, 1, 9, 3, 7, 8, 10, 14, 13, 0, 11, 6, 15, 12]","[1, 3, 2, 14, 10, 11, 0, 4, 8, 9, 6, 13, 7, 12, 15, 17, 19, 18, 30, 26, 27, 16, 20, 24, 25, 22, 29, 23, 28, 31]",0.00858643464744091,1.0,0.48084554076194763,0.8787878751754761,1.0596567392349243,0.560606062412262
