missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.13699562061478188,0.0043776757800894316,0.13771424963754425,0.004676884272768821,0.14253729102210372,0.005038987560524536
1,[10],[11],0.1312751010830232,0.004276899077737588,0.13531537498045362,0.005371680981780714,0.13280790131711695,0.004750519973018571
2,"[11, 3]","[13, 1]",0.11215162989643793,0.004382044986290384,0.13027812773916717,0.005109943431960412,0.1107054643510117,0.006393526885928394
3,"[10, 1, 13]","[8, 5, 14]",0.1313832603114615,0.0060515514477531614,0.12504033291241667,0.005262820758491931,0.14985487100424583,0.004284936363313635
4,"[14, 12, 4, 10]","[4, 15, 6, 2]",0.1332281075433546,0.00424000348257314,0.11623059069830391,0.004996493787358424,0.12193359471062243,0.004950870630579213
5,"[11, 15, 6, 8, 12]","[4, 10, 3, 1, 2]",0.14591567054523272,0.005085296680899554,0.13323952315321,0.004964829960357605,0.1140375618467035,0.005807028101118433
6,"[11, 15, 14, 7, 1, 12]","[2, 3, 5, 11, 14, 9]",0.1373020327705712,0.005865838014421844,0.13065215182718617,0.004989111151701813,0.14521195907407666,0.005983745203034693
7,"[4, 9, 8, 7, 13, 0, 5]","[7, 3, 9, 10, 5, 4, 14]",0.11777147780488471,0.004533681541189701,0.13983529758964297,0.004802929692581152,0.14315620626414122,0.004892578324837059
8,"[5, 13, 12, 7, 15, 4, 6, 1]","[6, 4, 5, 15, 12, 8, 1, 10]",0.13219483227657758,0.006598485865814371,0.11860619724862313,0.004826903740391013,0.1322853778509577,0.005533515404450684
9,"[14, 9, 11, 3, 5, 15, 13, 0, 6]","[9, 10, 12, 3, 13, 5, 0, 1, 11]",0.10684679523076332,0.004250583596320173,0.13844900594615134,0.005358088725005254,0.12380860965677394,0.005089361035638093
10,"[2, 14, 0, 7, 4, 13, 5, 8, 12, 3]","[5, 7, 12, 2, 6, 1, 4, 15, 10, 13]",0.1253990636725472,0.004185480948417125,0.12801781720448407,0.004861559869238757,0.16424641251071911,0.007566566209631606
11,"[5, 14, 1, 13, 7, 2, 3, 6, 4, 15, 9]","[13, 4, 12, 2, 6, 1, 3, 8, 0, 5, 10]",0.1474366643221001,0.0062559446570751315,0.15083135681312973,0.0074922722424106145,0.18474537258469131,0.009009315439790205
12,"[0, 14, 1, 12, 9, 2, 4, 5, 11, 7, 8, 10]","[15, 8, 5, 7, 4, 6, 12, 9, 11, 2, 3, 13]",0.14428767766705694,0.005602936080220109,0.1261246083408672,0.0050404217265631115,0.19877940586653062,0.008326887483959733
13,"[14, 12, 0, 4, 2, 13, 6, 15, 1, 10, 9, 8, 3]","[12, 6, 2, 7, 11, 8, 3, 0, 9, 5, 13, 1, 14]",0.16433930482531114,0.0072049037155229815,0.11640254241566673,0.005579147273855712,0.20721684787656489,0.008567857823745008
14,"[8, 0, 9, 12, 13, 15, 5, 7, 10, 6, 4, 2, 14, 3]","[7, 5, 13, 2, 10, 1, 15, 8, 9, 0, 11, 4, 3, 6]",0.1777076897050014,0.005616654400738306,0.13390739928968118,0.008336074703890783,0.2951447414548001,0.012002814165423393
15,"[0, 4, 10, 12, 6, 14, 9, 5, 11, 1, 7, 3, 15, 13, 2]","[4, 5, 3, 2, 6, 9, 14, 11, 8, 15, 10, 13, 0, 12, 7]",0.22287968142082742,0.00884033318033163,0.20504612803116,0.007613673282167617,0.8251044335092276,0.027946200508507473
