missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06771393235528828,0.3047126955987972,0.5398347919256666,0.07552644511047234,0.3398690029971255,0.5830148208402198,0.07173353619084194,0.3228009128587887,0.5577578119539021
1,[4],[13],0.07102719799046801,0.31962239095710604,0.5585507086959968,0.0709872094465062,0.3194424425092779,0.5808466457457581,0.07427703418429617,0.3342466538293328,0.5786684012822045
2,"[2, 4]","[13, 14]",0.07152983859562001,0.32188427368029005,0.561826667322121,0.0878872466140423,0.3954926097631904,0.6230583296803891,0.08696016836861906,0.39132075765878577,0.6405993848666206
3,"[7, 0, 2]","[14, 6, 2]",0.0793283636564499,0.3569776364540245,0.5849600282410012,0.08755073242666749,0.39397829592000366,0.6185827875591515,0.10546723383997814,0.4746025522799016,0.6871092744919155
4,"[5, 3, 2, 0]","[13, 4, 3, 8]",0.07906443790848407,0.3557899705881783,0.5799180665511365,0.08044888647871345,0.3620199891542106,0.608491452818213,0.09022483455178792,0.4060117554830457,0.6454249838146326
5,"[2, 10, 1, 13, 12]","[3, 5, 4, 7, 8]",0.09915355989995638,0.44619101954980367,0.6477177215420625,0.10353753692703818,0.4659189161716718,0.6929542981448524,0.12131888070396862,0.5459349631678588,0.7548587565030286
6,"[9, 10, 0, 14, 5, 7]","[0, 4, 10, 7, 12, 11]",0.08727626958693317,0.39274321314119925,0.6248989393313046,0.11299897128144099,0.5084953707664844,0.7631920311077109,0.12094478526208971,0.5442515336794037,0.8048336666970649
7,"[8, 12, 14, 15, 7, 6, 9]","[14, 5, 11, 12, 15, 0, 13]",0.09927899558803971,0.4467554801461787,0.6466931934240019,0.14543282280393066,0.654447702617688,0.8657921014122502,0.14413351891153042,0.6486008351018869,0.8812163457216287
8,"[2, 5, 9, 3, 8, 6, 14, 13]","[11, 13, 12, 14, 0, 7, 9, 10]",0.09754927720665917,0.43897174742996625,0.629844855765205,0.14293030180084992,0.6431863581038246,0.881701865869965,0.1505483270974965,0.6774674719387342,0.8876275014588345
9,"[8, 13, 15, 1, 12, 9, 7, 6, 14]","[10, 11, 4, 1, 8, 6, 14, 2, 9]",0.09552871135175096,0.42987920108287936,0.6336575882824497,0.1373345741369322,0.618005583616195,0.869651006181949,0.14775383847226156,0.6648922731251771,0.8888765261752005
10,"[7, 15, 8, 11, 4, 2, 13, 3, 6, 0]","[0, 11, 9, 1, 14, 12, 8, 15, 10, 13]",0.103201101507396,0.46440495678328203,0.6760894282676568,0.15129460782476223,0.6808257352114301,0.9162914571780556,0.16137038193632175,0.7261667187134478,0.9583876413404714
11,"[4, 10, 15, 7, 11, 6, 3, 13, 14, 5, 0]","[7, 3, 2, 14, 1, 6, 5, 4, 15, 11, 9]",0.1039101451504704,0.46759565317711677,0.6763651502404977,0.1735180246041571,0.7808311107187069,0.9815333524678623,0.1795199720944263,0.8078398744249183,1.0198968019513084
12,"[2, 11, 10, 5, 4, 9, 14, 0, 6, 7, 8, 3]","[4, 9, 13, 10, 6, 11, 12, 14, 1, 2, 0, 8]",0.10387463392686191,0.4674358526708786,0.6727557542283517,0.1551228245013369,0.6980527102560161,0.9313490656016674,0.17665646588922854,0.7949540965015284,1.0126747766676312
13,"[8, 5, 6, 4, 9, 11, 14, 7, 13, 1, 10, 12, 15]","[5, 4, 14, 7, 1, 10, 6, 8, 0, 15, 3, 11, 13]",0.11363986377976665,0.5113793870089499,0.7627344198962419,0.17591784731091148,0.7916303128991017,1.000018132989885,0.19171896115423503,0.8627353251940577,1.064163489672318
14,"[8, 10, 14, 12, 6, 7, 4, 13, 5, 9, 3, 15, 2, 0]","[11, 3, 10, 6, 4, 7, 14, 9, 1, 8, 13, 5, 12, 2]",0.13906977241835816,0.6258139758826117,0.8268029718103119,0.1866474659541217,0.8399135967935477,1.0424841384442736,0.21182211298584683,0.9531995084363107,1.1365528414038717
15,"[12, 7, 4, 1, 0, 8, 9, 3, 10, 15, 2, 14, 5, 13, 6]","[4, 6, 1, 0, 12, 9, 10, 7, 11, 8, 15, 3, 13, 5, 14]",0.13846800974090007,0.6231060438340503,0.8586566629733356,0.18565844709936666,0.83546301194715,1.0393686715055777,0.21063595297589977,0.9478617883915489,1.128855541306195
