experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.3010563823740123,1.23709681708023,3372292,38.8270206451416
no_transformer,True,"[64, 128]",False,4,128,False,0.4701051455170843,2.0823233731285224,2180868,24.999934196472168
no_cnn,False,"[64, 128]",True,4,128,True,0.3350260118053054,1.3455709778124418,3037700,34.98793315887451
no_pos,True,"[64, 128]",True,4,128,False,0.2658497696147822,1.3054112993343543,3370244,38.80263233184815
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3456377625591402,1.266788026639853,3185540,36.68981075286865
bigger_cnn,True,"[128, 256]",True,4,128,True,0.3283989568282652,1.277389849315248,3856388,44.36706256866455
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3266550190471697,1.2818218203042189,2777604,31.9262752532959
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.3204608357976097,1.2984657200694392,3966980,45.73128318786621
projected_dim_64,True,"[64, 128]",True,4,64,True,0.2743992467873689,1.331518596591902,1461956,16.964885711669922
projected_dim_256,True,"[64, 128]",True,4,256,True,0.929655853219569,1.4196642519540017,8765828,100.5511417388916
small_default,True,"[32, 64]",True,2,64,True,0.3674082398590006,1.362275732706121,1174340,13.578339576721191
big_default,True,"[128, 256]",True,6,256,True,0.9341958009943336,1.4164489978226087,11749764,134.79821491241455
