experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.2872410682124899,1.275000587596819,3372292,38.8270206451416
no_transformer,True,"[64, 128]",False,4,128,False,0.4743067073033689,1.9777242682808207,2180868,24.999934196472168
no_cnn,False,"[64, 128]",True,4,128,True,0.403039704591615,1.3089586398532578,3037700,34.98793315887451
no_pos,True,"[64, 128]",True,4,128,False,0.2709431818171849,1.231535800009128,3370244,38.80263233184815
smaller_cnn,True,"[32, 64]",True,4,128,True,0.2499447209404844,1.278830084527662,3185540,36.68981075286865
bigger_cnn,True,"[128, 256]",True,4,128,True,0.3098543257838037,1.2824530682043498,3856388,44.36706256866455
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3560452265826372,1.2906685130308924,2777604,31.9262752532959
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.3482175010800638,1.2542604308085652,3966980,45.73128318786621
projected_dim_64,True,"[64, 128]",True,4,64,True,0.3277402479888982,1.3023697606571245,1461956,16.964885711669922
projected_dim_256,True,"[64, 128]",True,4,256,True,0.3013388802851707,1.2990443034958383,8765828,100.5511417388916
small_default,True,"[32, 64]",True,2,64,True,0.3242564607960881,1.36832229508477,1174340,13.578333854675291
big_default,True,"[128, 256]",True,6,256,True,0.9562769360815362,1.4180033910529866,11749764,134.79818058013916
