removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0646004639073653,0.2907020875831438,0.5068319085557602
64.0,0.0790047865099964,0.355521539294984,0.5946493245111253
128.0,0.0731679733592441,0.3292558801165987,0.5515863003347494
192.0,0.076557473305103,0.3445086298729639,0.5770802480906034
224.0,0.0656566956746824,0.335455130536071,0.5149760960470158
232.0,0.08703417544324901,0.39165378949462054,0.6180553961967984
240.0,0.0928773300018008,0.4179479850081036,0.6532331579639268
244.0,0.12095366132173978,0.544291475947829,0.776333543342776
248.0,0.1685063543017207,0.7582785943577431,1.0168614406557688
250.0,0.183249876937753,0.8246244462198885,1.0844996090799703
252.0,0.2022720636865825,0.9102242865896212,1.1676881697816777
254.0,0.19606342235695,0.882285400606275,1.076747644749859
