missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.12386791157327519,0.005123128263157557,0.13976938072237846,0.0058905345698854195,0.1399521142755218,0.005898529006102631
1,[4],[13],0.1427024725586757,0.005752702268141147,0.12571661331506268,0.0055476768120577115,0.13652475838374892,0.0052233342766490505
2,"[2, 4]","[13, 14]",0.15470735335689062,0.005840498650990764,0.12662479414938285,0.005556225016929317,0.13474106654010046,0.005112536896693636
3,"[7, 0, 2]","[14, 6, 2]",0.13482885413326362,0.00569921995430999,0.13101088452246232,0.005827436856961056,0.12847956314282497,0.006847494270743132
4,"[5, 3, 2, 0]","[13, 4, 3, 8]",0.13803503347595927,0.005889943679209501,0.14746060896395852,0.0046168641811683755,0.1423537887466869,0.005423269328453342
5,"[2, 10, 1, 13, 12]","[3, 5, 4, 7, 8]",0.12898680245680777,0.005483454480627564,0.14498660478751926,0.006659148333670238,0.14221760318431304,0.006121579095755907
6,"[9, 10, 0, 14, 5, 7]","[0, 4, 10, 7, 12, 11]",0.14154403161699444,0.005927109448880878,0.1273258197908578,0.005097389790423984,0.13463146311640073,0.006421678328964289
7,"[8, 12, 14, 15, 7, 6, 9]","[14, 5, 11, 12, 15, 0, 13]",0.1447863547108107,0.004806634225800856,0.14847067103252573,0.006577559587510217,0.15537257857487957,0.005952352914035506
8,"[2, 5, 9, 3, 8, 6, 14, 13]","[11, 13, 12, 14, 0, 7, 9, 10]",0.12563601535775623,0.005352636224670423,0.12883296612208495,0.00560682151000121,0.14052815853379824,0.006233759171094717
9,"[8, 13, 15, 1, 12, 9, 7, 6, 14]","[10, 11, 4, 1, 8, 6, 14, 2, 9]",0.14133888051864152,0.006483577605267997,0.11800145388042531,0.006026338447198504,0.134700441937897,0.005608040106763156
10,"[7, 15, 8, 11, 4, 2, 13, 3, 6, 0]","[0, 11, 9, 1, 14, 12, 8, 15, 10, 13]",0.15061319577539986,0.0053399714529392545,0.14985081418396332,0.005662639246635335,0.1880963999251041,0.0071572142472018695
11,"[4, 10, 15, 7, 11, 6, 3, 13, 14, 5, 0]","[7, 3, 2, 14, 1, 6, 5, 4, 15, 11, 9]",0.16108855722359408,0.006306381745113857,0.14808948795581753,0.006828906780827918,0.15495588740260444,0.006590665928078556
12,"[2, 11, 10, 5, 4, 9, 14, 0, 6, 7, 8, 3]","[4, 9, 13, 10, 6, 11, 12, 14, 1, 2, 0, 8]",0.15417810679776292,0.006307450141574413,0.1380641906150748,0.005951861848854727,0.172778154530902,0.008110111375816223
13,"[8, 5, 6, 4, 9, 11, 14, 7, 13, 1, 10, 12, 15]","[5, 4, 14, 7, 1, 10, 6, 8, 0, 15, 3, 11, 13]",0.16239866070695944,0.0070586119904575435,0.15860293739390083,0.006513755139583359,0.3099175116323802,0.01119260074604481
14,"[8, 10, 14, 12, 6, 7, 4, 13, 5, 9, 3, 15, 2, 0]","[11, 3, 10, 6, 4, 7, 14, 9, 1, 8, 13, 5, 12, 2]",0.14236920713902027,0.006194243802377421,0.16746193838022325,0.006581492888130657,0.3362865538896879,0.012133176627530044
15,"[12, 7, 4, 1, 0, 8, 9, 3, 10, 15, 2, 14, 5, 13, 6]","[4, 6, 1, 0, 12, 9, 10, 7, 11, 8, 15, 3, 13, 5, 14]",0.30134063419992707,0.010193110859008083,0.20739639176816083,0.007877383116019366,0.9083929238179026,0.036620736983375875
