missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.002008209703490138,1.0,0.0002907385060098022,1.0,0.000845366797875613,1.0
1,[14],"[15, 31]",0.0026445165276527405,1.0,0.00036973223905079067,1.0,0.02613358572125435,0.9848484992980957
2,"[2, 3]","[5, 14, 21, 30]",0.0004368222435005009,1.0,0.0006271132733672857,1.0,0.0008457963122054935,1.0
3,"[6, 11, 3]","[9, 8, 10, 25, 24, 26]",0.0024098206777125597,1.0,0.0015759303933009505,1.0,0.001703578163869679,1.0
4,"[14, 11, 15, 0]","[9, 10, 13, 8, 25, 26, 29, 24]",0.0027838442474603653,1.0,0.0020843001548200846,1.0,0.0005631395033560693,1.0
5,"[10, 15, 4, 11, 9]","[7, 10, 9, 1, 5, 23, 26, 25, 17, 21]",0.01703471504151821,0.9848484992980957,0.0014094830257818103,1.0,0.0027618003077805042,1.0
6,"[12, 7, 14, 6, 3, 5]","[12, 15, 5, 10, 3, 0, 28, 31, 21, 26, 19, 16]",0.0006337336380966008,1.0,0.0006499270093627274,1.0,0.005440910812467337,1.0
7,"[0, 2, 13, 10, 7, 8, 3]","[15, 5, 2, 3, 7, 11, 14, 31, 21, 18, 19, 23, 27, 30]",0.0004514891479630023,1.0,0.0024677652399986982,1.0,0.003393049817532301,1.0
8,"[8, 4, 15, 5, 14, 13, 2, 11]","[10, 6, 12, 3, 5, 4, 1, 14, 26, 22, 28, 19, 21, 20, 17, 30]",0.023721544072031975,1.0,0.0008891249308362603,1.0,0.002531560370698571,1.0
9,"[13, 14, 10, 9, 7, 5, 3, 8, 15]","[2, 14, 6, 13, 9, 5, 7, 3, 1, 18, 30, 22, 29, 25, 21, 23, 19, 17]",0.011575893498957157,1.0,0.0008986176690086722,1.0,0.0017104990547522902,1.0
10,"[14, 9, 12, 3, 2, 8, 0, 4, 1, 5]","[11, 14, 0, 8, 10, 13, 5, 12, 15, 3, 27, 30, 16, 24, 26, 29, 21, 28, 31, 19]",0.0011383086675778031,1.0,0.024296144023537636,0.9848484992980957,0.005951716098934412,1.0
11,"[12, 7, 8, 3, 2, 6, 5, 14, 4, 0, 11]","[5, 8, 11, 2, 14, 6, 12, 9, 13, 10, 7, 21, 24, 27, 18, 30, 22, 28, 25, 29, 26, 23]",0.0008117176475934684,1.0,0.000497999251820147,1.0,0.005582371260970831,1.0
12,"[7, 2, 3, 10, 4, 15, 12, 5, 8, 1, 13, 0]","[12, 11, 2, 8, 13, 3, 14, 9, 5, 15, 1, 7, 28, 27, 18, 24, 29, 19, 30, 25, 21, 31, 17, 23]",0.002695817267522216,1.0,0.026265079155564308,0.9848484992980957,0.10281757265329361,0.9696969985961914
13,"[15, 14, 3, 13, 9, 10, 12, 7, 6, 2, 4, 11, 1]","[1, 2, 8, 14, 12, 6, 9, 15, 10, 4, 11, 3, 13, 17, 18, 24, 30, 28, 22, 25, 31, 26, 20, 27, 19, 29]",0.0012234386522322893,1.0,0.012255514971911907,1.0,0.29272565245628357,0.9090909361839294
14,"[15, 6, 2, 3, 4, 9, 13, 11, 7, 0, 5, 10, 1, 12]","[15, 11, 1, 4, 8, 0, 9, 10, 12, 6, 13, 2, 3, 5, 31, 27, 17, 20, 24, 16, 25, 26, 28, 22, 29, 18, 19, 21]",0.0009045922779478133,1.0,0.08729652315378189,0.9696969985961914,0.8767275214195251,0.7727272510528564
15,"[8, 5, 15, 4, 14, 12, 9, 1, 13, 3, 7, 11, 10, 0, 6]","[2, 12, 9, 0, 4, 5, 15, 1, 10, 14, 11, 7, 8, 6, 13, 18, 28, 25, 16, 20, 21, 31, 17, 26, 30, 27, 23, 24, 22, 29]",0.013482168316841125,1.0,0.43716734647750854,0.8636363744735718,0.3852934241294861,0.8636363744735718
