missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.00048440409591421485,1.0,0.0008381294901482761,1.0,0.0050276098772883415,1.0
1,[1],"[14, 30]",0.0018892250955104828,1.0,0.0007594164344482124,1.0,0.009061743505299091,1.0
2,"[1, 15]","[2, 1, 18, 17]",0.001138061285018921,1.0,0.0011362998047843575,1.0,0.000569345778785646,1.0
3,"[6, 13, 14]","[6, 12, 7, 22, 28, 23]",0.0010317792184650898,1.0,0.0021284909453243017,1.0,0.00453532487154007,1.0
4,"[13, 8, 14, 5]","[15, 6, 10, 9, 31, 22, 26, 25]",0.004962801467627287,1.0,0.0011187990894541144,1.0,0.0017627025954425335,1.0
5,"[6, 0, 2, 12, 1]","[1, 12, 13, 2, 7, 17, 28, 29, 18, 23]",0.0013163377298042178,1.0,0.07884737104177475,0.9846153855323792,0.015120571479201317,0.9846153855323792
6,"[13, 9, 2, 5, 8, 0]","[3, 11, 10, 1, 15, 9, 19, 27, 26, 17, 31, 25]",0.03642110526561737,0.9846153855323792,0.011463327333331108,0.9846153855323792,0.010683981701731682,1.0
7,"[9, 0, 14, 7, 6, 10, 3]","[4, 7, 1, 12, 6, 8, 11, 20, 23, 17, 28, 22, 24, 27]",0.0006287693395279348,1.0,0.0014618762070313096,1.0,0.002020742744207382,1.0
8,"[11, 3, 10, 8, 14, 1, 4, 12]","[13, 5, 2, 15, 1, 9, 0, 14, 29, 21, 18, 31, 17, 25, 16, 30]",0.0014406325062736869,1.0,0.035885028541088104,0.9846153855323792,0.01502494141459465,0.9846153855323792
9,"[5, 11, 12, 8, 1, 10, 9, 6, 2]","[15, 5, 9, 1, 6, 13, 12, 11, 8, 31, 21, 25, 17, 22, 29, 28, 27, 24]",0.005674036219716072,1.0,0.027823250740766525,0.9846153855323792,0.03080303780734539,0.9846153855323792
10,"[8, 1, 4, 10, 14, 5, 15, 0, 2, 12]","[0, 9, 11, 13, 3, 8, 12, 7, 4, 6, 16, 25, 27, 29, 19, 24, 28, 23, 20, 22]",0.0015228705015033484,1.0,0.03708115220069885,0.9846153855323792,0.01652209833264351,0.9846153855323792
11,"[0, 7, 2, 12, 11, 10, 14, 9, 8, 4, 3]","[8, 7, 4, 5, 14, 15, 10, 6, 3, 12, 0, 24, 23, 20, 21, 30, 31, 26, 22, 19, 28, 16]",0.003071349812671542,1.0,0.0019928000401705503,1.0,0.010541272349655628,1.0
12,"[9, 7, 1, 6, 12, 13, 5, 4, 8, 3, 2, 0]","[1, 0, 12, 6, 13, 4, 9, 2, 10, 11, 3, 8, 17, 16, 28, 22, 29, 20, 25, 18, 26, 27, 19, 24]",0.01809241808950901,0.9846153855323792,0.022804642096161842,0.9846153855323792,0.008262468501925468,1.0
13,"[3, 15, 2, 12, 6, 9, 4, 13, 7, 0, 1, 11, 14]","[6, 5, 0, 10, 2, 4, 8, 15, 9, 12, 11, 1, 13, 22, 21, 16, 26, 18, 20, 24, 31, 25, 28, 27, 17, 29]",0.03465522080659866,0.9846153855323792,0.008792415261268616,1.0,0.12047817558050156,0.9692307710647583
14,"[5, 2, 0, 4, 13, 3, 8, 6, 1, 7, 11, 9, 14, 15]","[15, 5, 11, 0, 3, 10, 13, 7, 9, 6, 4, 12, 2, 1, 31, 21, 27, 16, 19, 26, 29, 23, 25, 22, 20, 28, 18, 17]",0.004573693033307791,1.0,0.08280257880687714,0.9846153855323792,0.024025769904255867,1.0
15,"[1, 3, 6, 2, 7, 13, 10, 12, 5, 15, 4, 11, 14, 0, 9]","[5, 3, 1, 11, 8, 12, 0, 14, 13, 2, 7, 9, 10, 6, 15, 21, 19, 17, 27, 24, 28, 16, 30, 29, 18, 23, 25, 26, 22, 31]",0.1226753368973732,0.9692307710647583,0.32638779282569885,0.8615384697914124,1.157639503479004,0.4923076927661896
