missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.12284153021268286,0.0070805041510160465,0.11210885081215856,0.007044910316970022,0.1406500343001377,0.007302828963734058
1,[14],[15],0.11289300858186078,0.007238458130422418,0.1342427735509089,0.006975170593552082,0.1318148416226757,0.006160119284700211
2,"[2, 3]","[5, 14]",0.11606743918226628,0.006746698673281295,0.11815784618913901,0.008640387240218293,0.10574640843643804,0.007593091507671663
3,"[6, 11, 3]","[9, 8, 10]",0.13567440631811542,0.0066464654155052585,0.13167324674151284,0.006913736663428115,0.1217870355271363,0.006294590270577988
4,"[14, 11, 15, 0]","[9, 10, 13, 8]",0.12239303686454331,0.005963566632830561,0.1298126231653968,0.007004536967177245,0.13567755576000814,0.006067900964623953
5,"[10, 15, 4, 11, 9]","[7, 10, 9, 1, 5]",0.11500809445589041,0.006803529138949116,0.10963563110666312,0.0073733377089103755,0.11614718567206411,0.007242309789079305
6,"[12, 7, 14, 6, 3, 5]","[12, 15, 5, 10, 3, 0]",0.12919548931847263,0.007089701642605452,0.1304595450786272,0.006547764179387806,0.14093912093112007,0.007134005194543901
7,"[0, 2, 13, 10, 7, 8, 3]","[15, 5, 2, 3, 7, 11, 14]",0.13034555030962713,0.007293564307431805,0.12295936695132866,0.006808583719320695,0.1402887703645951,0.007365505860586873
8,"[8, 4, 15, 5, 14, 13, 2, 11]","[10, 6, 12, 3, 5, 4, 1, 14]",0.13697766454933877,0.007137307317157565,0.10380600224568208,0.0073038721276019025,0.11708079057107222,0.006965057268480446
9,"[13, 14, 10, 9, 7, 5, 3, 8, 15]","[2, 14, 6, 13, 9, 5, 7, 3, 1]",0.1353085920529155,0.006207030935580448,0.1190858818908397,0.007323709698157807,0.15605100886951098,0.006736039003770451
10,"[14, 9, 12, 3, 2, 8, 0, 4, 1, 5]","[11, 14, 0, 8, 10, 13, 5, 12, 15, 3]",0.15135155257411767,0.007254095572682884,0.15319683935174988,0.007197340224246107,0.22342901791645733,0.007461030320794322
11,"[12, 7, 8, 3, 2, 6, 5, 14, 4, 0, 11]","[5, 8, 11, 2, 14, 6, 12, 9, 13, 10, 7]",0.12567390592416844,0.006289554965597677,0.13833799081506284,0.006703774908039932,0.15307612382412175,0.006768237475838401
12,"[7, 2, 3, 10, 4, 15, 12, 5, 8, 1, 13, 0]","[12, 11, 2, 8, 13, 3, 14, 9, 5, 15, 1, 7]",0.17102820643058197,0.007553147064876326,0.20044063884919386,0.007362020895293234,0.2227454268456611,0.00791054506768265
13,"[15, 14, 3, 13, 9, 10, 12, 7, 6, 2, 4, 11, 1]","[1, 2, 8, 14, 12, 6, 9, 15, 10, 4, 11, 3, 13]",0.1843351645706889,0.007908532419293585,0.1882731894803133,0.008230286248627606,0.2854371954576661,0.00965507782219857
14,"[15, 6, 2, 3, 4, 9, 13, 11, 7, 0, 5, 10, 1, 12]","[15, 11, 1, 4, 8, 0, 9, 10, 12, 6, 13, 2, 3, 5]",0.17854296938385952,0.008559326932153485,0.19122032951491097,0.01009321043595185,0.6003064277208962,0.01858499466622796
15,"[8, 5, 15, 4, 14, 12, 9, 1, 13, 3, 7, 11, 10, 0, 6]","[2, 12, 9, 0, 4, 5, 15, 1, 10, 14, 11, 7, 8, 6, 13]",0.20861218915294497,0.007293740294788448,0.23151296009859434,0.006580962964122455,0.708425707678085,0.01743431278016263
