removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0697262180452972,0.3137679812038376,0.5421740199103124
64.0,0.0690437584557535,0.310696913050891,0.5181769396244165
128.0,0.0620659135756375,0.2892966110903691,0.4960180216891373
192.0,0.0647760130017724,0.3114920585079761,0.5188576550687218
224.0,0.0658770631193926,0.326446784037267,0.4960755221128661
232.0,0.07066821734300961,0.3180069780435433,0.5476452216969215
240.0,0.0971830060377001,0.4373235271696505,0.672464706018431
244.0,0.12457105673704369,0.5605697553166966,0.7994841898197143
248.0,0.1623754819377454,0.7306896687198543,0.9845413699072268
250.0,0.18455002656943478,0.8304751195624566,1.0848841202001476
252.0,0.203191492326385,0.9143617154687326,1.172928912633237
254.0,0.205435004327764,0.924457519474938,1.11667528280423



