experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.2851808199227673,1.2574682783732292,3372292,38.8270435333252
no_transformer,True,"[64, 128]",False,4,128,False,0.4474760834035188,1.6818092052428977,2180868,24.999934196472168
no_cnn,False,"[64, 128]",True,4,128,True,0.3125036116828111,1.3261279918524598,3037700,34.987956047058105
no_pos,True,"[64, 128]",True,4,128,False,0.3400994738811823,1.294913830562986,3370244,38.80265522003174
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3374340140893531,1.2652138905864103,3185540,36.689833641052246
bigger_cnn,True,"[128, 256]",True,4,128,True,0.3341390355129795,1.3183113789640408,3856388,44.36708545684815
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3281088978929155,1.4332313080551058,2777604,31.92628669738769
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.387730904362996,1.2443952229556654,3966980,45.7313175201416
projected_dim_64,True,"[64, 128]",True,4,64,True,0.2728043815634446,1.3438814976560205,1461956,16.96492099761963
projected_dim_256,True,"[64, 128]",True,4,256,True,0.3353594609833281,1.2512941721719446,8765828,100.55117702484132
small_default,True,"[32, 64]",True,2,64,True,0.3198478019249942,1.4511117824524442,1174340,13.578357696533203
big_default,True,"[128, 256]",True,6,256,True,0.9407480974364604,1.416563124262748,11749764,134.79822731018066
