removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0628878684916146,0.2829954082122657,0.501796909546976
64.0,0.072619975384481,0.3267898892301645,0.5476251869396449
128.0,0.063156915609946,0.2842061202447571,0.5077160866439617
192.0,0.0620879834387663,0.3093959254744486,0.5122536383911314
224.0,0.0831871058543684,0.3743419763446579,0.5874230757588718
232.0,0.0809360461951282,0.3642122078780769,0.596519470473789
240.0,0.0975907746894502,0.4391584861025263,0.6600318921133254
244.0,0.1204940806909987,0.5422233631094941,0.7650350586806653
248.0,0.1674579063249613,0.7535605784623259,1.004138164132888
250.0,0.18716571743614316,0.8422457284626442,1.106992867497576
252.0,0.194774424043262,0.8764849081946793,1.134715465695029
254.0,0.1982641922301658,0.8921888650357461,1.0958145478163657
