missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.14624655501176034,0.005952002234580103,0.1372083989221349,0.00662215438092409,0.13183220437538348,0.006228128315037682
1,[7],[8],0.12134995883538115,0.006066125427136855,0.12703010539627155,0.007387201664098607,0.13652030316401678,0.005260311629674293
2,"[4, 12]","[4, 6]",0.1350022436695738,0.00569697419892518,0.13538921918981672,0.006397011174067038,0.14276018641172644,0.00598399211859165
3,"[1, 2, 11]","[13, 9, 11]",0.13975183076160977,0.005513715972149358,0.13189353257344166,0.0063878922443408245,0.13423283168806516,0.0056756740621000884
4,"[9, 13, 14, 8]","[1, 9, 4, 6]",0.14037006843105304,0.006251674419555418,0.12661351182806724,0.005805129840632155,0.14108758237519659,0.005930347809922947
5,"[12, 10, 8, 7, 0]","[3, 5, 8, 6, 0]",0.14060909689454246,0.00648387971234769,0.14332032909643247,0.00643011271984153,0.13238844887106851,0.006302333957925723
6,"[5, 4, 12, 14, 6, 13]","[15, 10, 5, 6, 8, 4]",0.1574243969147122,0.006295329674888811,0.14922203239053258,0.005760930364537488,0.15956051217977554,0.005594886664097661
7,"[14, 11, 8, 13, 15, 9, 6]","[1, 0, 9, 11, 7, 5, 14]",0.14622673601461217,0.005742022829686168,0.13354365608276098,0.006360277435153783,0.16302040877805643,0.006677786253308337
8,"[11, 15, 12, 2, 3, 6, 9, 4]","[6, 12, 15, 3, 13, 14, 0, 1]",0.16735209213216426,0.00633084730599161,0.16606901244797748,0.006796353661746621,0.17969554531149592,0.007638268044894599
9,"[7, 3, 10, 9, 1, 12, 15, 11, 13]","[5, 0, 10, 8, 15, 11, 4, 13, 7]",0.14005275874806655,0.006107988172926368,0.14924815296136346,0.005587508004485276,0.15513336109039225,0.006488980249638648
10,"[13, 11, 12, 5, 6, 2, 8, 9, 15, 7]","[14, 0, 12, 7, 3, 6, 8, 13, 1, 11]",0.1514260756254467,0.00626743546273085,0.13561651280385642,0.006586422058742353,0.20164175094734174,0.007066932953778038
11,"[8, 7, 6, 4, 2, 12, 13, 5, 0, 10, 15]","[2, 1, 3, 15, 10, 12, 5, 13, 6, 11, 4]",0.16636436800516125,0.006909381852872937,0.16808855920369514,0.006571835525997883,0.23208562489025839,0.009098384902458151
12,"[9, 6, 3, 7, 0, 14, 4, 12, 1, 2, 11, 15]","[2, 13, 11, 12, 7, 4, 8, 5, 3, 14, 0, 15]",0.1621534834232368,0.006783682994339146,0.15833818082474732,0.005883169434338391,0.21777015433004535,0.008645526821212373
13,"[13, 6, 5, 0, 15, 7, 9, 4, 14, 11, 3, 1, 2]","[0, 1, 7, 9, 3, 13, 11, 15, 12, 2, 6, 8, 4]",0.17810040704445096,0.006412837373671997,0.16275993030326164,0.006854729879049413,0.2255443283501715,0.009877485612635161
14,"[2, 4, 15, 6, 0, 13, 10, 8, 12, 9, 5, 1, 7, 3]","[10, 1, 15, 2, 11, 6, 9, 4, 3, 7, 13, 12, 5, 8]",0.18587394210723254,0.0089931944517077,0.18484807346304066,0.006832105359148694,0.28075602995593596,0.012141275188125966
15,"[7, 2, 12, 5, 14, 9, 13, 1, 0, 3, 11, 4, 15, 10, 6]","[1, 0, 15, 10, 11, 3, 6, 14, 9, 4, 5, 12, 8, 7, 2]",0.21891095929819437,0.008484142472405682,0.24456938558732552,0.0113881025063785,0.9486963006297764,0.03489284107589152
