missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06986552227489613,0.3143948502370326,0.547030989176641,0.07204566086766927,0.3242054739045117,0.5350960804167738,0.06286736504270513,0.28290314269217304,0.5037568417576328
1,[3],[6],0.07562679949679728,0.34032059773558776,0.5753340057713902,0.08337099424861168,0.37516947411875257,0.5705686580427025,0.07923735217564022,0.356568084790381,0.5833572630021164
2,"[12, 15]","[10, 3]",0.07302282882002133,0.32860272969009596,0.5723246819269827,0.07868972007451022,0.354103740335296,0.5830325643876297,0.0884735543222581,0.3981309944501615,0.6311374516048728
3,"[13, 5, 3]","[11, 4, 15]",0.07584429709369338,0.3412993369216202,0.5686855583865076,0.08914995068830495,0.40117477809737223,0.6219865894656208,0.10677097878129088,0.480469404515809,0.6896481440695964
4,"[14, 9, 7, 12]","[3, 8, 1, 9]",0.08104768221111508,0.3647145699500179,0.5864064282476611,0.07523339149649338,0.33855026173422026,0.5775912453948565,0.09107820686586823,0.40985193089640704,0.6308198581965521
5,"[3, 14, 9, 0, 10]","[14, 6, 0, 8, 9]",0.0858698934406176,0.3864145204827792,0.581344116157563,0.09193418680239346,0.4137038406107706,0.6739772661109634,0.10319871754757205,0.46439422896407423,0.6998091742680502
6,"[4, 0, 1, 8, 2, 6]","[14, 15, 0, 12, 3, 9]",0.0748897416685627,0.33700383750853213,0.5565256222570565,0.1057151275608015,0.4757180740236067,0.7236978772577425,0.12234490879465303,0.5505520895759386,0.7850049331946847
7,"[8, 0, 9, 5, 14, 6, 12]","[9, 0, 10, 14, 3, 12, 5]",0.0854155614657022,0.3843700265956599,0.5870782813343179,0.10199167077642896,0.45896251849393027,0.7067518078476918,0.12292013409419535,0.553140603423879,0.7900886924153786
8,"[3, 1, 8, 7, 13, 5, 6, 11]","[14, 6, 8, 5, 11, 13, 0, 1]",0.0854596007567121,0.3845682034052045,0.581583219813965,0.12281048254731651,0.5526471714629243,0.7826172349200428,0.1369910567801389,0.616459755510625,0.8472239925025224
9,"[12, 10, 4, 13, 15, 2, 11, 9, 0]","[15, 8, 13, 1, 2, 7, 12, 3, 10]",0.0991907390285966,0.4463583256286847,0.6794820248698596,0.1404222380079242,0.6319000710356588,0.8697977512438246,0.15443143559893324,0.6949414601951996,0.9164345098820234
10,"[11, 14, 4, 0, 12, 10, 13, 9, 8, 15]","[2, 10, 7, 0, 4, 15, 5, 8, 13, 9]",0.10358173970095658,0.46611782865430457,0.6974469945536192,0.12694389999682776,0.5712475499857249,0.7921360743762603,0.15542736202201135,0.6994231290990511,0.9159432531278877
11,"[9, 7, 0, 1, 10, 14, 2, 5, 15, 11, 6]","[9, 7, 2, 4, 1, 8, 11, 10, 5, 3, 15]",0.09762341039469638,0.4393053467761337,0.6435074380593728,0.162477309664817,0.7311478934916764,0.9450042004658448,0.16483960445366957,0.7417782200415131,0.9557661270891609
12,"[5, 7, 2, 12, 6, 11, 10, 13, 4, 3, 0, 9]","[0, 13, 6, 3, 14, 11, 2, 7, 8, 4, 1, 9]",0.09894018195084552,0.4452308187788048,0.6384768689712129,0.1664659897682966,0.7490969539573347,0.9666150393874042,0.17368154859242244,0.7815669686659009,0.986350183186919
13,"[5, 15, 12, 9, 6, 10, 14, 7, 1, 8, 4, 13, 3]","[7, 13, 11, 14, 5, 3, 2, 10, 0, 12, 9, 8, 15]",0.11092501677237131,0.4991625754756709,0.6906103484590799,0.17564575321312323,0.7904058894590545,0.9940075190274834,0.2080608437398056,0.9362737968291251,1.112980923414706
14,"[1, 10, 8, 9, 14, 3, 4, 2, 13, 15, 11, 6, 5, 7]","[10, 15, 13, 8, 14, 5, 12, 6, 4, 9, 2, 1, 7, 3]",0.11239808565686654,0.5057913854558994,0.7108909766700101,0.18799426335005087,0.8459741850752289,1.0415646654374426,0.2095546204663379,0.9429957920985206,1.1183255087742092
15,"[4, 2, 1, 9, 3, 7, 8, 10, 14, 13, 0, 11, 6, 15, 12]","[1, 3, 2, 14, 10, 11, 0, 4, 8, 9, 6, 13, 7, 12, 15]",0.13765718276454314,0.6194573224404442,0.8515634509886472,0.1961955365075502,0.8828799142839759,1.0785318071810333,0.20289081208662615,0.9130086543898177,1.0953372263573016
