experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.2794655523327597,1.318386362417138,3372292,38.82699775695801
no_transformer,True,"[64, 128]",False,4,128,False,0.4338094978512475,1.685692891294394,2180868,24.99992275238037
no_cnn,False,"[64, 128]",True,4,128,True,0.3205544628212774,1.352507831768652,3037700,34.987915992736816
no_pos,True,"[64, 128]",True,4,128,False,0.2764287607848986,1.2925421358443985,3370244,38.80260944366455
smaller_cnn,True,"[32, 64]",True,4,128,True,0.2897204569793303,1.3029566822485912,3185540,36.68978786468506
bigger_cnn,True,"[128, 256]",True,4,128,True,0.3742392656856681,1.2937927203256792,3856388,44.36703968048096
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3183963236259982,1.360823394292204,2777604,31.926258087158203
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.3335212947210131,1.237261442442069,3966980,45.73126602172852
projected_dim_64,True,"[64, 128]",True,4,64,True,0.2778678484769726,1.2938290811929736,1461956,16.964874267578125
projected_dim_256,True,"[64, 128]",True,4,256,True,0.3763285646544171,1.312889725818226,8765828,100.5511302947998
small_default,True,"[32, 64]",True,2,64,True,0.3524746007455389,1.499727362309407,1174340,13.578322410583496
big_default,True,"[128, 256]",True,6,256,True,0.944352414532188,1.4145899458445714,11749764,134.79816913604736
