missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06070334775955098,0.2731650649179794,0.4891213193461678,0.06358654843004835,0.2861394679352176,0.5059335945938989,0.06728396866820033,0.30277785900690146,0.5040558444798657
1,[7],[1],0.06866361314724062,0.3089862591625828,0.5500711036617077,0.06634876081003584,0.29856942364516126,0.5033294819384678,0.06581370269287018,0.29616166211791584,0.5036534038180125
2,"[5, 15]","[7, 6]",0.06562328152801063,0.29530476687604784,0.5131290675299162,0.08363592743644711,0.376361673464012,0.5944590162839211,0.09169349568625088,0.4126207305881289,0.6262037420256616
3,"[15, 11, 8]","[11, 4, 5]",0.06999798709044366,0.3149909419069965,0.5358426008701996,0.07737125261158465,0.3481706367521309,0.5802945063499433,0.0825355973298187,0.3714101879841842,0.5890790138825265
4,"[5, 11, 15, 6]","[15, 1, 6, 9]",0.07490840576994587,0.3370878259647564,0.5322292043300948,0.08413660758717363,0.37861473414228136,0.617542531351478,0.08445962214508107,0.3800682996528648,0.6076265149899449
5,"[2, 1, 0, 12, 3]","[4, 10, 13, 14, 3]",0.07492891294673848,0.33718010826032313,0.5615062691497622,0.09714944231190582,0.4371724904035762,0.6842212924859107,0.11354825090283995,0.5109671290627797,0.7507920744013448
6,"[4, 5, 2, 11, 10, 8]","[6, 9, 5, 0, 14, 4]",0.07410889818658119,0.33349004183961534,0.5563379149403078,0.09377714222414786,0.4219971400086654,0.6466147669318071,0.09700138826900034,0.4365062472105015,0.6431820873360554
7,"[12, 5, 13, 7, 8, 11, 6]","[13, 14, 3, 10, 6, 12, 7]",0.07535585611596846,0.339101352521858,0.5372175824504264,0.11540912512223397,0.5193410630500529,0.7544135244041072,0.13639153627068618,0.6137619132180878,0.8241637399390701
8,"[9, 11, 7, 5, 3, 12, 4, 10]","[0, 7, 11, 2, 15, 3, 13, 1]",0.09621932372886378,0.432986956779887,0.6430652317837329,0.13366512688841467,0.601493070997866,0.8264033650061151,0.15793624312834173,0.7107130940775378,0.9265978073476123
9,"[15, 4, 6, 3, 0, 5, 12, 8, 2]","[6, 3, 8, 13, 15, 7, 4, 0, 11]",0.07861683105537347,0.3537757397491806,0.5617679146458545,0.1281005785560435,0.5764526035021958,0.8046903711237005,0.14759918243386733,0.664196320952403,0.9014264697610828
10,"[12, 9, 6, 14, 0, 4, 13, 15, 8, 3]","[12, 3, 4, 8, 11, 0, 9, 2, 15, 14]",0.09328755724802272,0.41979400761610225,0.6224712073830935,0.14983781634340312,0.674270173545314,0.9295396595038125,0.1646083630880234,0.7407376338961053,0.9560588123715977
11,"[5, 13, 11, 14, 3, 1, 8, 12, 15, 2, 0]","[8, 7, 10, 14, 11, 2, 13, 12, 1, 5, 6]",0.09781265134790026,0.4401569310655512,0.6551620214349357,0.15904525799777114,0.7157036609899701,0.9337828882189586,0.1660025228020613,0.7470113526092759,0.9559728071563164
12,"[8, 2, 11, 12, 3, 10, 7, 4, 5, 6, 15, 13]","[12, 6, 3, 9, 15, 8, 4, 0, 13, 1, 11, 14]",0.09814464192643692,0.4416508886689661,0.6544242195154415,0.16505509077481234,0.7427479084866555,0.9529288507059147,0.1738527382520888,0.7823373221343995,1.0069868794917423
13,"[3, 11, 0, 13, 5, 14, 12, 4, 7, 1, 9, 10, 15]","[7, 0, 1, 6, 10, 14, 8, 15, 3, 12, 5, 4, 2]",0.1168802682207742,0.5259612069934839,0.7523962955276235,0.18241422836944945,0.8208640276625225,1.0159165065012075,0.1922003581308938,0.8649016115890221,1.0584829384082457
14,"[13, 9, 11, 7, 4, 14, 8, 3, 5, 0, 2, 12, 1, 15]","[0, 11, 1, 8, 6, 2, 13, 5, 15, 7, 3, 12, 14, 9]",0.11165248380836285,0.5024361771376328,0.7045630667970446,0.18616994439785628,0.8377647497903533,1.02900185870369,0.20426317492580015,0.9191842871661007,1.0969995606430332
15,"[7, 1, 0, 15, 12, 2, 8, 4, 9, 3, 11, 10, 13, 5, 6]","[15, 12, 2, 7, 1, 11, 9, 13, 8, 4, 14, 0, 5, 10, 6]",0.13341841398270018,0.6003828629221508,0.8454274723717579,0.18467349637173366,0.8310307336728014,1.0282227935185702,0.20870462970046916,0.9391708336521112,1.1133009173361006
