missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.01808824948966503,1.0,0.03704145923256874,0.9848484992980957,0.021871233358979225,1.0
1,[4],"[15, 31]",0.045529913157224655,1.0,0.02926340140402317,0.9848484992980957,0.018444659188389778,1.0
2,"[5, 2]","[6, 4, 22, 20]",0.08111131191253662,0.9696969985961914,0.032587286084890366,1.0,0.020619763061404228,0.9848484992980957
3,"[4, 15, 11]","[3, 1, 6, 19, 17, 22]",0.017875580117106438,1.0,0.019207200035452843,1.0,0.03067898377776146,1.0
4,"[12, 13, 7, 9]","[0, 8, 6, 2, 16, 24, 22, 18]",0.0073386128060519695,1.0,0.020684095099568367,1.0,0.01855422742664814,1.0
5,"[11, 7, 6, 3, 15]","[3, 7, 4, 5, 1, 19, 23, 20, 21, 17]",0.020506173372268677,1.0,0.028430117294192314,0.9848484992980957,0.005669502075761557,1.0
6,"[15, 2, 9, 13, 10, 5]","[12, 11, 1, 15, 14, 13, 28, 27, 17, 31, 30, 29]",0.029419269412755966,1.0,0.04336021468043327,0.9848484992980957,0.12862128019332886,0.9696969985961914
7,"[1, 11, 6, 3, 14, 15, 13]","[8, 1, 4, 2, 15, 3, 9, 24, 17, 20, 18, 31, 19, 25]",0.010036672465503216,1.0,0.028250040486454964,1.0,0.03080865554511547,1.0
8,"[8, 9, 12, 10, 11, 2, 15, 0]","[14, 9, 2, 13, 1, 8, 11, 15, 30, 25, 18, 29, 17, 24, 27, 31]",0.03283790498971939,1.0,0.017007268965244293,1.0,0.015322192572057247,1.0
9,"[5, 12, 6, 15, 10, 4, 0, 8, 2]","[10, 9, 14, 1, 0, 12, 13, 3, 15, 26, 25, 30, 17, 16, 28, 29, 19, 31]",0.015157557092607021,1.0,0.09876216948032379,0.9696969985961914,0.1559048295021057,0.9696969985961914
10,"[13, 5, 6, 10, 11, 0, 15, 1, 4, 8]","[11, 0, 2, 3, 13, 10, 15, 4, 12, 9, 27, 16, 18, 19, 29, 26, 31, 20, 28, 25]",0.010841796174645424,1.0,0.092685267329216,0.9848484992980957,0.04714830964803696,0.9848484992980957
11,"[2, 7, 3, 11, 0, 9, 8, 4, 13, 12, 6]","[8, 5, 4, 15, 1, 10, 13, 9, 6, 12, 2, 24, 21, 20, 31, 17, 26, 29, 25, 22, 28, 18]",0.015039730817079544,1.0,0.002816468244418502,1.0,0.07088543474674225,0.9848484992980957
12,"[8, 10, 7, 0, 2, 13, 9, 3, 4, 5, 14, 15]","[15, 6, 8, 1, 4, 10, 9, 11, 14, 7, 5, 13, 31, 22, 24, 17, 20, 26, 25, 27, 30, 23, 21, 29]",0.034512296319007874,1.0,0.0167565755546093,1.0,0.14045308530330658,0.9696969985961914
13,"[3, 7, 11, 9, 8, 1, 13, 4, 2, 10, 0, 5, 12]","[12, 8, 2, 6, 1, 11, 9, 10, 15, 7, 4, 14, 13, 28, 24, 18, 22, 17, 27, 25, 26, 31, 23, 20, 30, 29]",0.003090908983722329,1.0,0.17999188601970673,0.9242424368858337,0.6946117877960205,0.7121211886405945
14,"[12, 2, 10, 14, 3, 1, 7, 9, 4, 11, 6, 5, 0, 15]","[4, 7, 0, 3, 8, 1, 13, 5, 10, 15, 6, 12, 2, 9, 20, 23, 16, 19, 24, 17, 29, 21, 26, 31, 22, 28, 18, 25]",0.03507532924413681,0.9848484992980957,0.07078225910663605,0.9848484992980957,0.2749861776828766,0.9090909361839294
15,"[14, 10, 6, 3, 8, 11, 2, 5, 0, 7, 4, 1, 12, 15, 9]","[5, 15, 14, 12, 8, 10, 13, 1, 11, 4, 3, 2, 7, 6, 0, 21, 31, 30, 28, 24, 26, 29, 17, 27, 20, 19, 18, 23, 22, 16]",0.08108174800872803,0.9696969985961914,0.09353717416524887,0.9696969985961914,1.5051592588424683,0.40909090638160706
