missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.11499799245893948,0.006943841003293552,0.13120938857296469,0.006975731191135882,0.12420238936182465,0.006479306673019788
1,[4],[15],0.1233564941195518,0.007564459216186047,0.12361676615050457,0.0067717438478732215,0.13061090315495624,0.006496177763386311
2,"[6, 2]","[8, 3]",0.13024602656082662,0.007103296198639303,0.12920627760318104,0.006973271839854035,0.13097326376210203,0.0066612612562174465
3,"[1, 4, 7]","[2, 13, 8]",0.1163230177244316,0.007088975860366646,0.1255643594712967,0.006622952586212396,0.11830285565851582,0.006730720898546344
4,"[15, 5, 9, 11]","[5, 9, 1, 2]",0.13262357389782012,0.006795616710488339,0.1055453104286046,0.005688352390845888,0.14606443545461328,0.006513211970548477
5,"[14, 11, 8, 13, 3]","[14, 10, 3, 2, 4]",0.14299544252985552,0.006621175500150434,0.12340609087834394,0.006599257777983613,0.12565012533543127,0.006879650206837291
6,"[11, 0, 1, 6, 5, 3]","[2, 15, 4, 1, 3, 11]",0.112876978915762,0.0067285116838042116,0.1272308663446106,0.006522445617695489,0.12362097903242891,0.006962749021447934
7,"[4, 11, 1, 7, 10, 6, 14]","[2, 12, 13, 4, 6, 1, 11]",0.11463942766528874,0.006822049092845778,0.12185292338400913,0.006289302187043637,0.12479702656594616,0.007298453081992503
8,"[10, 7, 5, 1, 0, 2, 8, 14]","[0, 6, 3, 8, 9, 7, 4, 12]",0.11058921878739976,0.006521105438588923,0.12462513262676755,0.007939947618328945,0.13423793679265347,0.007397656005711007
9,"[11, 3, 9, 2, 14, 0, 8, 4, 12]","[4, 10, 13, 5, 3, 11, 9, 7, 14]",0.1291308198828671,0.007223563073282733,0.13560176979018948,0.008178376243321683,0.13158808150658113,0.007705797369210529
10,"[3, 7, 12, 2, 8, 9, 4, 0, 13, 5]","[0, 7, 3, 13, 2, 4, 8, 11, 9, 10]",0.12664085254626917,0.00755630482486372,0.14444313184193064,0.00638190916643422,0.16021473521706928,0.008235092843696269
11,"[11, 5, 10, 7, 14, 2, 4, 8, 12, 15, 1]","[14, 13, 0, 4, 5, 12, 2, 15, 10, 7, 9]",0.13083515803325924,0.007148328074795884,0.17664487598381684,0.007692200423646378,0.21096415724703454,0.007988723436203384
12,"[5, 15, 14, 0, 7, 8, 12, 11, 6, 9, 1, 10]","[7, 6, 14, 5, 8, 4, 11, 10, 2, 15, 12, 13]",0.13454039948119545,0.006636420691812113,0.19573537014113687,0.0070961058544913615,0.1758861432175579,0.006962165714144011
13,"[5, 15, 10, 11, 14, 13, 7, 8, 1, 6, 0, 4, 9]","[10, 12, 5, 14, 7, 8, 1, 0, 2, 3, 6, 11, 9]",0.14043089870924708,0.008807512438936927,0.13168004421928442,0.008744561686165126,0.248561255950659,0.012683945711050615
14,"[6, 12, 14, 5, 15, 9, 2, 4, 13, 7, 11, 0, 8, 3]","[0, 5, 13, 11, 7, 10, 14, 3, 15, 6, 1, 12, 9, 8]",0.18870452038644042,0.008315671946696131,0.20188484539949986,0.008283320783116055,0.2651234042018816,0.009071789748512487
15,"[15, 11, 8, 1, 10, 14, 12, 3, 2, 13, 5, 9, 0, 6, 7]","[2, 5, 7, 10, 11, 14, 12, 0, 3, 8, 6, 4, 15, 13, 1]",0.2279679524539147,0.011073748487463961,0.20597255917972626,0.01043445004125259,0.8301447085236656,0.03086225939067658
