missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06324499726177807,0.2846024876780013,0.4998544798766887,0.0684698717339654,0.3081144228028443,0.5338841839962011,0.0713756921061384,0.32119061447762276,0.5382695522555743
1,[7],[8],0.06956616431133308,0.3130477394009989,0.5356829209030309,0.06547039793236514,0.29461679069564317,0.526431183002977,0.07439465586506985,0.33477595139281435,0.5581070183601268
2,"[4, 12]","[4, 6]",0.06583687203512072,0.2962659241580432,0.5223825559110021,0.07566016451728264,0.34047074032777186,0.5290914144070166,0.0772025842094584,0.3474116289425628,0.5687144260359003
3,"[1, 2, 11]","[13, 9, 11]",0.0718164362793476,0.3231739632570642,0.528522271311596,0.0904185561074008,0.40688350248330357,0.6433370364844865,0.09061591163606081,0.4077716023622736,0.6409824345306698
4,"[9, 13, 14, 8]","[1, 9, 4, 6]",0.07994692014681992,0.35976114066068965,0.562323186192613,0.07532914287897928,0.33898114295540677,0.550499339449064,0.08213290711316393,0.36959808200923766,0.556193984851757
5,"[12, 10, 8, 7, 0]","[3, 5, 8, 6, 0]",0.07482933388970889,0.33673200250369,0.5940551755404374,0.09388719905737351,0.4224923957581808,0.6449702091764556,0.09904735788383326,0.44571311047724965,0.6686533143308917
6,"[5, 4, 12, 14, 6, 13]","[15, 10, 5, 6, 8, 4]",0.08415528714093277,0.3786987921341975,0.5670646832939225,0.10381355441782104,0.4671609948801947,0.6901673077224519,0.11504696560897057,0.5177113452403675,0.7292674470626579
7,"[14, 11, 8, 13, 15, 9, 6]","[1, 0, 9, 11, 7, 5, 14]",0.0888351850456169,0.39975833270527605,0.60028108751677,0.10651420858154642,0.4793139386169589,0.7033084649952785,0.12931699809408714,0.5819264914233921,0.8153715133698495
8,"[11, 15, 12, 2, 3, 6, 9, 4]","[6, 12, 15, 3, 13, 14, 0, 1]",0.08258865540378829,0.3716489493170473,0.5730918766883805,0.1426720833249987,0.6420243749624941,0.8962692567994035,0.1523493648376157,0.6855721417692706,0.896170719665838
9,"[7, 3, 10, 9, 1, 12, 15, 11, 13]","[5, 0, 10, 8, 15, 11, 4, 13, 7]",0.09921991911154854,0.44648963600196845,0.6533955746599814,0.12572746673800717,0.5657736003210322,0.7946455945635686,0.15006015861350322,0.6752707137607645,0.8849257573666129
10,"[13, 11, 12, 5, 6, 2, 8, 9, 15, 7]","[14, 0, 12, 7, 3, 6, 8, 13, 1, 11]",0.09590569738655726,0.4315756382395077,0.6296557948423945,0.13777260058652685,0.6199767026393709,0.8507961263591605,0.16119150090828782,0.7253617540872952,0.9366845327440588
11,"[8, 7, 6, 4, 2, 12, 13, 5, 0, 10, 15]","[2, 1, 3, 15, 10, 12, 5, 13, 6, 11, 4]",0.10335479892500626,0.4650965951625282,0.648142753035682,0.16553433623295957,0.7449045130483181,0.957635007360137,0.16827842271329402,0.7572529022098231,0.9656358234904122
12,"[9, 6, 3, 7, 0, 14, 4, 12, 1, 2, 11, 15]","[2, 13, 11, 12, 7, 4, 8, 5, 3, 14, 0, 15]",0.10375908212384254,0.4669158695572914,0.6701130417993431,0.16802168328654762,0.7560975747894643,0.9597693633056558,0.1744429183728801,0.7849931326779604,0.9951899418694432
13,"[13, 6, 5, 0, 15, 7, 9, 4, 14, 11, 3, 1, 2]","[0, 1, 7, 9, 3, 13, 11, 15, 12, 2, 6, 8, 4]",0.11086292009351759,0.49888314042082915,0.7142423449318974,0.17521714290833534,0.788477143087509,0.9968143976969889,0.20710327727938896,0.9319647477572504,1.1088877416781675
14,"[2, 4, 15, 6, 0, 13, 10, 8, 12, 9, 5, 1, 7, 3]","[10, 1, 15, 2, 11, 6, 9, 4, 3, 7, 13, 12, 5, 8]",0.11396867287497742,0.5128590279373983,0.7213067433335494,0.1830583077624096,0.8237623849308433,1.0328581908659629,0.19781241879419517,0.8901558845738783,1.075805444318443
15,"[7, 2, 12, 5, 14, 9, 13, 1, 0, 3, 11, 4, 15, 10, 6]","[1, 0, 15, 10, 11, 3, 6, 14, 9, 4, 5, 12, 8, 7, 2]",0.13185883417097666,0.593364753769395,0.8150189818156343,0.19570276259892952,0.8806624316951829,1.0717590654571718,0.20701453009606563,0.9315653854322953,1.1087544022926
