missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.006891402415931225,1.0,0.001190139795653522,1.0,0.017251400277018547,0.9848484992980957
1,[7],"[8, 24]",0.025047646835446358,0.9848484992980957,0.0021375094074755907,1.0,0.00164690800011158,1.0
2,"[4, 12]","[4, 6, 20, 22]",0.0007988426368683577,1.0,0.0021875726524740458,1.0,0.006923211272805929,1.0
3,"[1, 2, 11]","[13, 9, 11, 29, 25, 27]",0.0032907065469771624,1.0,0.026851829141378403,1.0,0.0053407903760671616,1.0
4,"[9, 13, 14, 8]","[1, 9, 4, 6, 17, 25, 20, 22]",0.002032927703112364,1.0,0.021059470251202583,1.0,0.027350110933184624,1.0
5,"[12, 10, 8, 7, 0]","[3, 5, 8, 6, 0, 19, 21, 24, 22, 16]",0.017466148361563683,1.0,0.009823901578783989,1.0,0.0029484243132174015,1.0
6,"[5, 4, 12, 14, 6, 13]","[15, 10, 5, 6, 8, 4, 31, 26, 21, 22, 24, 20]",0.0021949224174022675,1.0,0.00878824107348919,1.0,0.003914637956768274,1.0
7,"[14, 11, 8, 13, 15, 9, 6]","[1, 0, 9, 11, 7, 5, 14, 17, 16, 25, 27, 23, 21, 30]",0.02399539202451706,0.9848484992980957,0.0030924284365028143,1.0,0.002478695707395673,1.0
8,"[11, 15, 12, 2, 3, 6, 9, 4]","[6, 12, 15, 3, 13, 14, 0, 1, 22, 28, 31, 19, 29, 30, 16, 17]",0.012696518562734127,1.0,0.08218403905630112,0.9848484992980957,0.13443686068058014,0.9848484992980957
9,"[7, 3, 10, 9, 1, 12, 15, 11, 13]","[5, 0, 10, 8, 15, 11, 4, 13, 7, 21, 16, 26, 24, 31, 27, 20, 29, 23]",0.003380020149052143,1.0,0.0012338957749307156,1.0,0.004477787762880325,1.0
10,"[13, 11, 12, 5, 6, 2, 8, 9, 15, 7]","[14, 0, 12, 7, 3, 6, 8, 13, 1, 11, 30, 16, 28, 23, 19, 22, 24, 29, 17, 27]",0.007310378830879927,1.0,0.005127455107867718,1.0,0.08104431629180908,0.9696969985961914
11,"[8, 7, 6, 4, 2, 12, 13, 5, 0, 10, 15]","[2, 1, 3, 15, 10, 12, 5, 13, 6, 11, 4, 18, 17, 19, 31, 26, 28, 21, 29, 22, 27, 20]",0.010168888606131077,1.0,0.004858290310949087,1.0,0.0066284616477787495,1.0
12,"[9, 6, 3, 7, 0, 14, 4, 12, 1, 2, 11, 15]","[2, 13, 11, 12, 7, 4, 8, 5, 3, 14, 0, 15, 18, 29, 27, 28, 23, 20, 24, 21, 19, 30, 16, 31]",0.005700087174773216,1.0,0.1530868262052536,0.9696969985961914,0.16390173137187958,0.9696969985961914
13,"[13, 6, 5, 0, 15, 7, 9, 4, 14, 11, 3, 1, 2]","[0, 1, 7, 9, 3, 13, 11, 15, 12, 2, 6, 8, 4, 16, 17, 23, 25, 19, 29, 27, 31, 28, 18, 22, 24, 20]",0.0036546376068145037,1.0,0.09185819327831268,0.9848484992980957,0.08306495100259781,0.9696969985961914
14,"[2, 4, 15, 6, 0, 13, 10, 8, 12, 9, 5, 1, 7, 3]","[10, 1, 15, 2, 11, 6, 9, 4, 3, 7, 13, 12, 5, 8, 26, 17, 31, 18, 27, 22, 25, 20, 19, 23, 29, 28, 21, 24]",0.0027906284667551517,1.0,0.02290973998606205,0.9848484992980957,0.4676390290260315,0.8787878751754761
15,"[7, 2, 12, 5, 14, 9, 13, 1, 0, 3, 11, 4, 15, 10, 6]","[1, 0, 15, 10, 11, 3, 6, 14, 9, 4, 5, 12, 8, 7, 2, 17, 16, 31, 26, 27, 19, 22, 30, 25, 20, 21, 28, 24, 23, 18]",0.1702391803264618,0.9545454382896423,0.12437094748020172,0.9696969985961914,1.8338041305541992,0.3636363744735718
