missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.14365359931404983,0.008199622116854655,0.14039482158682234,0.008127855744125972,0.14018370175203376,0.008372142581491911
1,[1],[14],0.13342725416738516,0.009010518053290796,0.1476790311645881,0.00872156084374372,0.1502415377081931,0.009233621834963119
2,"[1, 15]","[2, 1]",0.1376630392361231,0.009286886079325917,0.14156569204238828,0.008948353265163377,0.12785017034249316,0.00900641096032839
3,"[6, 13, 14]","[6, 12, 7]",0.1329209765071474,0.009608791937535341,0.136244689672001,0.008352516140848934,0.1350073610220392,0.009376546256122558
4,"[13, 8, 14, 5]","[15, 6, 10, 9]",0.13426061746163925,0.008525357450763493,0.14204977597619187,0.00913497964369452,0.14202523014075574,0.009593218055472332
5,"[6, 0, 2, 12, 1]","[1, 12, 13, 2, 7]",0.1594727727525645,0.00965959859452496,0.1435028694707667,0.008276201981048456,0.15533454837945412,0.009145567574718856
6,"[13, 9, 2, 5, 8, 0]","[3, 11, 10, 1, 15, 9]",0.13828474562934318,0.008368708781533086,0.1437985720257335,0.008648914062275281,0.13516808524252025,0.009236452207084137
7,"[9, 0, 14, 7, 6, 10, 3]","[4, 7, 1, 12, 6, 8, 11]",0.14415319550013897,0.009516840166026143,0.1392446654768487,0.009201064611311727,0.12452642029513786,0.009026598318814744
8,"[11, 3, 10, 8, 14, 1, 4, 12]","[13, 5, 2, 15, 1, 9, 0, 14]",0.15289171711859842,0.008784549467856577,0.16823007711493376,0.009037273931022142,0.1801574614446066,0.009822471542310576
9,"[5, 11, 12, 8, 1, 10, 9, 6, 2]","[15, 5, 9, 1, 6, 13, 12, 11, 8]",0.1650636681743353,0.00853302906196458,0.12401343221045341,0.008226243922835474,0.1740668462694603,0.010069017024178364
10,"[8, 1, 4, 10, 14, 5, 15, 0, 2, 12]","[0, 9, 11, 13, 3, 8, 12, 7, 4, 6]",0.15889519511268735,0.009657465591639026,0.14256038420619796,0.009282192300358932,0.15347035186738764,0.009473289097410966
11,"[0, 7, 2, 12, 11, 10, 14, 9, 8, 4, 3]","[8, 7, 4, 5, 14, 15, 10, 6, 3, 12, 0]",0.15043795719705738,0.009232147967501455,0.17129499806733964,0.009848473077792678,0.20146122788884785,0.010200969736081495
12,"[9, 7, 1, 6, 12, 13, 5, 4, 8, 3, 2, 0]","[1, 0, 12, 6, 13, 4, 9, 2, 10, 11, 3, 8]",0.1706151798716359,0.009681648993406514,0.16743388693595807,0.01108536692462055,0.23985690717352268,0.014061217316598398
13,"[3, 15, 2, 12, 6, 9, 4, 13, 7, 0, 1, 11, 14]","[6, 5, 0, 10, 2, 4, 8, 15, 9, 12, 11, 1, 13]",0.20776438403493405,0.010144167140395009,0.13315104699371513,0.00938921957183611,0.3177355393355864,0.015780887393227035
14,"[5, 2, 0, 4, 13, 3, 8, 6, 1, 7, 11, 9, 14, 15]","[15, 5, 11, 0, 3, 10, 13, 7, 9, 6, 4, 12, 2, 1]",0.17768140537787797,0.010472871481332658,0.1781906936854485,0.011578446342130412,0.501469425366777,0.020248419370099628
15,"[1, 3, 6, 2, 7, 13, 10, 12, 5, 15, 4, 11, 14, 0, 9]","[5, 3, 1, 11, 8, 12, 0, 14, 13, 2, 7, 9, 10, 6, 15]",0.3205332589790114,0.015705600861336204,0.30364040126233516,0.011620439124804356,0.9651563287833087,0.03978648819957515
