removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0732816805557735,0.3097675625009809,0.543597399450597
64.0,0.0921450396291473,0.4146526783311631,0.6628852883134075
128.0,0.0628044183413974,0.3026198825362886,0.4996349883061042
192.0,0.0695980935666115,0.3531914210497521,0.5388307057682111
224.0,0.069406432577313,0.3423289465979086,0.5443098380815733
232.0,0.08163965617362694,0.3673784527813212,0.6252666361572933
240.0,0.1112575758760471,0.5006590914422123,0.7464689366866597
244.0,0.12300189336329659,0.5535085201348346,0.8071779254013683
248.0,0.1632137018507758,0.7344616583284915,0.9913415026414536
250.0,0.18268068416761463,0.8220630787542659,1.0772400532831548
252.0,0.1999784251928069,0.8999029133676311,1.1580881088911046
254.0,0.2004345709736166,0.901955569381275,1.1178810576458715

