experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.3177027408141903,1.301875061466895,3372292,38.8270206451416
no_transformer,True,"[64, 128]",False,4,128,False,0.4493241058654186,1.7387677913307718,2180868,24.999934196472168
no_cnn,False,"[64, 128]",True,4,128,True,0.3712539449455401,1.3127496310223263,3037700,34.98793315887451
no_pos,True,"[64, 128]",True,4,128,False,0.3064618460841871,1.308454654236353,3370244,38.80263233184815
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3651290485458538,1.2837070184890864,3185540,36.68981075286865
bigger_cnn,True,"[128, 256]",True,4,128,True,0.346683427043358,1.3364812796075247,3856388,44.36706256866455
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3198220466626713,1.3428819074291805,2777604,31.9262752532959
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.3670017514181883,1.249955434634708,3966980,45.73128318786621
projected_dim_64,True,"[64, 128]",True,4,64,True,0.3183840248034626,1.3594081809269591,1461956,16.964885711669922
projected_dim_256,True,"[64, 128]",True,4,256,True,0.3620560130405845,1.267264476086812,8765828,100.5511417388916
small_default,True,"[32, 64]",True,2,64,True,0.3546844575398887,1.3970940060095445,1174340,13.578333854675291
big_default,True,"[128, 256]",True,6,256,True,0.9506201430430572,1.415415097393674,11749764,134.79818058013916
