missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06358289938553323,0.2861230472348995,0.5041688718181565,0.06811792862857236,0.3065306788285756,0.5155113652970058,0.06460697928019513,0.29073140676087805,0.5141173553459845
1,[1],[14],0.05964339506293497,0.2683952777832074,0.4732757838138138,0.07608631622525933,0.34238842301366695,0.5628471776169054,0.07938387310390194,0.3572274289675587,0.5936102773294717
2,"[1, 15]","[2, 1]",0.06651094100674693,0.29929923453036117,0.5123725019169695,0.07535110373276178,0.339079966797428,0.5419519304822712,0.08489031235583278,0.3820064056012475,0.5845548298841301
3,"[6, 13, 14]","[6, 12, 7]",0.07536188955422993,0.3391285029940347,0.5364947834198576,0.08666892934570952,0.3900101820556929,0.6024015295021717,0.09443157736640212,0.4249420981488095,0.6379930668747437
4,"[13, 8, 14, 5]","[15, 6, 10, 9]",0.07209005278539501,0.3244052375342776,0.5135099280660468,0.08861797040010949,0.3987808668004927,0.6131318700624981,0.09606694529355643,0.43230125382100393,0.6545257229484802
5,"[6, 0, 2, 12, 1]","[1, 12, 13, 2, 7]",0.07063089147659522,0.3178390116446785,0.5027133348124156,0.08584164137332946,0.3862873861799826,0.5967434922353414,0.09520757359553932,0.42843408117992693,0.6155043363552407
6,"[13, 9, 2, 5, 8, 0]","[3, 11, 10, 1, 15, 9]",0.07005571657789025,0.3152507246005061,0.5283148523443564,0.11012949163519548,0.49558271235837964,0.7073501180160929,0.11157454661727459,0.5020854597777357,0.7157148302198266
7,"[9, 0, 14, 7, 6, 10, 3]","[4, 7, 1, 12, 6, 8, 11]",0.08729910477476664,0.3928459714864499,0.5818743810334511,0.11068994555866908,0.49810475501401086,0.7389465919427122,0.1274437599353546,0.5734969197090957,0.8218163936928516
8,"[11, 3, 10, 8, 14, 1, 4, 12]","[13, 5, 2, 15, 1, 9, 0, 14]",0.08950727677660998,0.4027827454947449,0.6182185459200882,0.12576066828636356,0.5659230072886361,0.8004847535678963,0.1465485753559114,0.6594685891016013,0.8606386976644599
9,"[5, 11, 12, 8, 1, 10, 9, 6, 2]","[15, 5, 9, 1, 6, 13, 12, 11, 8]",0.09545461932482638,0.4295457869617187,0.6236886536788966,0.12038473887960513,0.5417313249582231,0.7721437580008941,0.14937791851751753,0.6722006333288288,0.8841230965592434
10,"[8, 1, 4, 10, 14, 5, 15, 0, 2, 12]","[0, 9, 11, 13, 3, 8, 12, 7, 4, 6]",0.08603354373923604,0.38715094682656215,0.5979412376587775,0.12981697948728654,0.5841764076927894,0.8409892269085972,0.14712705232798895,0.6620717354759503,0.8698385966281962
11,"[0, 7, 2, 12, 11, 10, 14, 9, 8, 4, 3]","[8, 7, 4, 5, 14, 15, 10, 6, 3, 12, 0]",0.10055595650894808,0.4525018042902664,0.6435722284939795,0.15714309932363596,0.7071439469563618,0.9137242605501535,0.15983519744797692,0.7192583885158961,0.9256623670033199
12,"[9, 7, 1, 6, 12, 13, 5, 4, 8, 3, 2, 0]","[1, 0, 12, 6, 13, 4, 9, 2, 10, 11, 3, 8]",0.1080928763486581,0.4864179435689615,0.6855460583554996,0.16215906110026912,0.729715774951211,0.9448625725515257,0.16470434017838503,0.7411695308027326,0.973554997892573
13,"[3, 15, 2, 12, 6, 9, 4, 13, 7, 0, 1, 11, 14]","[6, 5, 0, 10, 2, 4, 8, 15, 9, 12, 11, 1, 13]",0.10437198100944917,0.4696739145425213,0.6780654487079498,0.15344655073684976,0.6905094783158239,0.9066489902623972,0.20699111525585573,0.9314600186513508,1.108894328249311
14,"[5, 2, 0, 4, 13, 3, 8, 6, 1, 7, 11, 9, 14, 15]","[15, 5, 11, 0, 3, 10, 13, 7, 9, 6, 4, 12, 2, 1]",0.112420087523732,0.505890393856794,0.7116676859104863,0.17010594544092808,0.7654767544841764,0.9762887673330741,0.17804778901528148,0.8012150505687666,0.9919127779910667
15,"[1, 3, 6, 2, 7, 13, 10, 12, 5, 15, 4, 11, 14, 0, 9]","[5, 3, 1, 11, 8, 12, 0, 14, 13, 2, 7, 9, 10, 6, 15]",0.13972210096700227,0.6287494543515102,0.8495377131921263,0.20715585787772822,0.932201360449777,1.1094892278667474,0.2059928402715655,0.9269677812220448,1.1068991863590405
