missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.062335004682908327,0.28050752107308746,0.49941511818727685,0.06228895570119337,0.28030030065537015,0.49025615719198656,0.058597721081991905,0.26368974486896357,0.47699685505210776
1,[4],[15],0.064733782886813,0.2913020229906585,0.5172227111209595,0.07278593685388675,0.3275367158424904,0.5421872451657591,0.07821002904937266,0.351945130722177,0.567606693985408
2,"[6, 2]","[8, 3]",0.06887283612069593,0.3099277625431317,0.52462899111158,0.06856456399978943,0.3085405379990524,0.5033211352599822,0.06669845160708512,0.30014303223188304,0.49929923011135613
3,"[1, 4, 7]","[2, 13, 8]",0.06885370326378201,0.30984166468701907,0.5240727920078387,0.06792167848523885,0.30564755318357484,0.5241936720729228,0.08454892597948162,0.3804701669076673,0.5953373853310062
4,"[15, 5, 9, 11]","[5, 9, 1, 2]",0.07166049124555408,0.32247221060499337,0.5241706228931425,0.06957029742913785,0.31306633843112036,0.5015442076908961,0.08498088443858177,0.382413979973618,0.5816720472431045
5,"[14, 11, 8, 13, 3]","[14, 10, 3, 2, 4]",0.08954396817172336,0.40294785677275513,0.5812222913400499,0.11658898375778011,0.5246504269100105,0.7331622818347499,0.12151879318016048,0.5468345693107222,0.7510213879349373
6,"[11, 0, 1, 6, 5, 3]","[2, 15, 4, 1, 3, 11]",0.07723513120132083,0.34755809040594376,0.5273886571020013,0.12425120155387748,0.5591304069924486,0.7968074514939368,0.1329715390324379,0.5983719256459706,0.8411297685929302
7,"[4, 11, 1, 7, 10, 6, 14]","[2, 12, 13, 4, 6, 1, 11]",0.08765406449959566,0.3944432902481805,0.5921856494948591,0.11180468140703316,0.5031210663316492,0.7367930346622066,0.1189159735551618,0.5351218809982281,0.7533596661453414
8,"[10, 7, 5, 1, 0, 2, 8, 14]","[0, 6, 3, 8, 9, 7, 4, 12]",0.0775877561636727,0.3491449027365271,0.5392384389938043,0.10487508782194514,0.4719378951987531,0.7061308579278568,0.12444871961100258,0.5600192382495116,0.7996305923490725
9,"[11, 3, 9, 2, 14, 0, 8, 4, 12]","[4, 10, 13, 5, 3, 11, 9, 7, 14]",0.08775329149858842,0.3948898117436479,0.5948546492304706,0.13193194391309981,0.5936937476089492,0.8101550214393473,0.14172930186035576,0.637781858371601,0.8613775360407802
10,"[3, 7, 12, 2, 8, 9, 4, 0, 13, 5]","[0, 7, 3, 13, 2, 4, 8, 11, 9, 10]",0.08264762807870724,0.3719143263541826,0.553318589409872,0.13091098308987098,0.5890994239044194,0.8247061938104847,0.16360119176673862,0.7362053629503238,0.9425519552616393
11,"[11, 5, 10, 7, 14, 2, 4, 8, 12, 15, 1]","[14, 13, 0, 4, 5, 12, 2, 15, 10, 7, 9]",0.09886752398179156,0.44490385791806203,0.6398429794076254,0.14961762433547984,0.6732793095096593,0.866377302065332,0.16091936624255787,0.7241371480915104,0.9087316362698568
12,"[5, 15, 14, 0, 7, 8, 12, 11, 6, 9, 1, 10]","[7, 6, 14, 5, 8, 4, 11, 10, 2, 15, 12, 13]",0.10164691411672672,0.4574111135252702,0.6560084917116512,0.1668360495275468,0.7507622228739605,0.9538086738533047,0.17110603213704265,0.7699771446166919,0.9740992108465767
13,"[5, 15, 10, 11, 14, 13, 7, 8, 1, 6, 0, 4, 9]","[10, 12, 5, 14, 7, 8, 1, 0, 2, 3, 6, 11, 9]",0.0973913547017522,0.4382610961578849,0.6155923128740857,0.16621188625497327,0.7479534881473797,0.9547943266104626,0.1739793672799763,0.7829071527598933,0.9759904063132938
14,"[6, 12, 14, 5, 15, 9, 2, 4, 13, 7, 11, 0, 8, 3]","[0, 5, 13, 11, 7, 10, 14, 3, 15, 6, 1, 12, 9, 8]",0.10077465833082626,0.45348596248871814,0.6515988638934664,0.17201312881259107,0.7740590796566598,0.9669358873161307,0.20134925831119738,0.9060716624003882,1.08066327548979
15,"[15, 11, 8, 1, 10, 14, 12, 3, 2, 13, 5, 9, 0, 6, 7]","[2, 5, 7, 10, 11, 14, 12, 0, 3, 8, 6, 4, 15, 13, 1]",0.12539890291163616,0.5642950631023628,0.7817704199723693,0.1931005271040455,0.8689523719682047,1.0510593049252974,0.20151217350236242,0.9068047807606309,1.0825378984492775
