missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.06051282212138176,0.9846153855323792,0.057046983391046524,0.9846153855323792,0.04575681313872337,0.9846153855323792
1,[7],"[1, 17]",0.09582830965518951,0.9846153855323792,0.07174921780824661,0.9846153855323792,0.09688364714384079,0.9846153855323792
2,"[5, 15]","[7, 6, 23, 22]",0.051617350429296494,0.9846153855323792,0.05319155380129814,0.9846153855323792,0.07209435105323792,0.9846153855323792
3,"[15, 11, 8]","[11, 4, 5, 27, 20, 21]",0.05093764141201973,0.9846153855323792,0.09655699878931046,0.9846153855323792,0.05528804659843445,0.9846153855323792
4,"[5, 11, 15, 6]","[15, 1, 6, 9, 31, 17, 22, 25]",0.05164564400911331,0.9846153855323792,0.05740460753440857,0.9846153855323792,0.04547358304262161,0.9846153855323792
5,"[2, 1, 0, 12, 3]","[4, 10, 13, 14, 3, 20, 26, 29, 30, 19]",0.10000383108854294,0.9846153855323792,0.06880857795476913,0.9846153855323792,0.06611000001430511,0.9846153855323792
6,"[4, 5, 2, 11, 10, 8]","[6, 9, 5, 0, 14, 4, 22, 25, 21, 16, 30, 20]",0.0785333514213562,0.9846153855323792,0.10215192288160324,0.9846153855323792,0.04225325584411621,0.9846153855323792
7,"[12, 5, 13, 7, 8, 11, 6]","[13, 14, 3, 10, 6, 12, 7, 29, 30, 19, 26, 22, 28, 23]",0.03789133206009865,0.9846153855323792,0.08053942024707794,0.9846153855323792,0.1183370053768158,0.9692307710647583
8,"[9, 11, 7, 5, 3, 12, 4, 10]","[0, 7, 11, 2, 15, 3, 13, 1, 16, 23, 27, 18, 31, 19, 29, 17]",0.043840061873197556,0.9846153855323792,0.08284076303243637,0.9846153855323792,0.026545586064457893,0.9846153855323792
9,"[15, 4, 6, 3, 0, 5, 12, 8, 2]","[6, 3, 8, 13, 15, 7, 4, 0, 11, 22, 19, 24, 29, 31, 23, 20, 16, 27]",0.07053393870592117,0.9846153855323792,0.0651620477437973,0.9846153855323792,0.04269715026021004,0.9846153855323792
10,"[12, 9, 6, 14, 0, 4, 13, 15, 8, 3]","[12, 3, 4, 8, 11, 0, 9, 2, 15, 14, 28, 19, 20, 24, 27, 16, 25, 18, 31, 30]",0.031641364097595215,0.9846153855323792,0.08286065608263016,0.9846153855323792,0.1104530468583107,0.9846153855323792
11,"[5, 13, 11, 14, 3, 1, 8, 12, 15, 2, 0]","[8, 7, 10, 14, 11, 2, 13, 12, 1, 5, 6, 24, 23, 26, 30, 27, 18, 29, 28, 17, 21, 22]",0.04079224169254303,0.9846153855323792,0.09292019158601761,0.9692307710647583,0.13110964000225067,0.9692307710647583
12,"[8, 2, 11, 12, 3, 10, 7, 4, 5, 6, 15, 13]","[12, 6, 3, 9, 15, 8, 4, 0, 13, 1, 11, 14, 28, 22, 19, 25, 31, 24, 20, 16, 29, 17, 27, 30]",0.06156565621495247,0.9692307710647583,0.08552812039852142,0.9538461565971375,0.33178940415382385,0.9384615421295166
13,"[3, 11, 0, 13, 5, 14, 12, 4, 7, 1, 9, 10, 15]","[7, 0, 1, 6, 10, 14, 8, 15, 3, 12, 5, 4, 2, 23, 16, 17, 22, 26, 30, 24, 31, 19, 28, 21, 20, 18]",0.05900842696428299,0.9846153855323792,0.0504474975168705,0.9846153855323792,0.23693227767944336,0.9538461565971375
14,"[13, 9, 11, 7, 4, 14, 8, 3, 5, 0, 2, 12, 1, 15]","[0, 11, 1, 8, 6, 2, 13, 5, 15, 7, 3, 12, 14, 9, 16, 27, 17, 24, 22, 18, 29, 21, 31, 23, 19, 28, 30, 25]",0.01657569408416748,0.9846153855323792,0.043570999056100845,0.9846153855323792,0.7180026173591614,0.7846153974533081
15,"[7, 1, 0, 15, 12, 2, 8, 4, 9, 3, 11, 10, 13, 5, 6]","[15, 12, 2, 7, 1, 11, 9, 13, 8, 4, 14, 0, 5, 10, 6, 31, 28, 18, 23, 17, 27, 25, 29, 24, 20, 30, 16, 21, 26, 22]",0.06185724586248398,0.9846153855323792,0.4285450875759125,0.8307692408561707,1.402137041091919,0.4307692348957062
