missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.15457246575756606,0.005443867063790516,0.1341132705991656,0.004669302153078123,0.1315674238487671,0.005617697648900847
1,[4],[15],0.13467047021015965,0.006657001689506585,0.14371599755779474,0.005918657872721675,0.12514432339949128,0.005545899082409684
2,"[5, 2]","[6, 4]",0.12728195516627386,0.006621282151670426,0.13593296989774983,0.006018794734281514,0.13920344458133108,0.005539305607281286
3,"[4, 15, 11]","[3, 1, 6]",0.12994600801715758,0.006088746607625725,0.14710884393587068,0.006386650109622016,0.14609069215658715,0.006789753230950369
4,"[12, 13, 7, 9]","[0, 8, 6, 2]",0.15383110670716302,0.0058776054111723845,0.13412458813048445,0.006316688479073973,0.1371785440442908,0.0046071730064194535
5,"[11, 7, 6, 3, 15]","[3, 7, 4, 5, 1]",0.14160176545303138,0.0054260625103685275,0.13888419782613615,0.0065727393564902,0.13709363315900772,0.005349113060245961
6,"[15, 2, 9, 13, 10, 5]","[12, 11, 1, 15, 14, 13]",0.13847193369364094,0.005887783154102864,0.1606732731549909,0.005501125160295074,0.1620914582734773,0.005763035165321548
7,"[1, 11, 6, 3, 14, 15, 13]","[8, 1, 4, 2, 15, 3, 9]",0.13792837045705367,0.005170197117822131,0.1445350421679179,0.0054917198193867095,0.15028963401359993,0.005864588626953644
8,"[8, 9, 12, 10, 11, 2, 15, 0]","[14, 9, 2, 13, 1, 8, 11, 15]",0.15935960344295041,0.006449537556682926,0.1670538582170208,0.005633075619380139,0.14756842391383648,0.006029002196843253
9,"[5, 12, 6, 15, 10, 4, 0, 8, 2]","[10, 9, 14, 1, 0, 12, 13, 3, 15]",0.15371962237597234,0.006841210211313735,0.17473175544341304,0.00628360199876574,0.20491578585818648,0.0069386343196839746
10,"[13, 5, 6, 10, 11, 0, 15, 1, 4, 8]","[11, 0, 2, 3, 13, 10, 15, 4, 12, 9]",0.15413497322451467,0.006035913191332599,0.15668044082717256,0.006179003114545448,0.22228682958278645,0.007390427475944717
11,"[2, 7, 3, 11, 0, 9, 8, 4, 13, 12, 6]","[8, 5, 4, 15, 1, 10, 13, 9, 6, 12, 2]",0.14128135480961654,0.005950590979857088,0.15176829780805995,0.005957899358814046,0.17852323076763219,0.007770999112460081
12,"[8, 10, 7, 0, 2, 13, 9, 3, 4, 5, 14, 15]","[15, 6, 8, 1, 4, 10, 9, 11, 14, 7, 5, 13]",0.1578287794855763,0.00700588877281517,0.1718490092965699,0.0052694664782970595,0.24264177721591484,0.0072248454791225495
13,"[3, 7, 11, 9, 8, 1, 13, 4, 2, 10, 0, 5, 12]","[12, 8, 2, 6, 1, 11, 9, 10, 15, 7, 4, 14, 13]",0.1579024447694911,0.008476540068434093,0.18299856976751194,0.005433610254109304,0.29617784272598896,0.012524149273889302
14,"[12, 2, 10, 14, 3, 1, 7, 9, 4, 11, 6, 5, 0, 15]","[4, 7, 0, 3, 8, 1, 13, 5, 10, 15, 6, 12, 2, 9]",0.23404766988550021,0.008376672314901936,0.16190598053389657,0.008241959261492078,0.3422684566154838,0.01495958214958231
15,"[14, 10, 6, 3, 8, 11, 2, 5, 0, 7, 4, 1, 12, 15, 9]","[5, 15, 14, 12, 8, 10, 13, 1, 11, 4, 3, 2, 7, 6, 0]",0.24099336190968978,0.009108567169278433,0.25829792285473385,0.009683230182683529,0.7190181612434879,0.02660823581840866
