removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0639247259045037,0.2876612665702667,0.5188445751658597
64.0,0.0680876235752057,0.3263943060884258,0.5174513386246239
128.0,0.078587909135442,0.3536455911094893,0.5968301704095694
192.0,0.0686753751917825,0.3590391883630214,0.5460864239561763
224.0,0.0782300256986614,0.3620351156439765,0.5881386600466078
232.0,0.08267427623865398,0.3720342430739429,0.6077469710805647
240.0,0.1090479750176838,0.4907158875795772,0.7119798207212933
244.0,0.1280176823392154,0.5760795705264693,0.8160399166581241
248.0,0.1702151595803322,0.7659682181114951,1.0285599446143512
250.0,0.18812861261540825,0.8465787567693371,1.106021833803562
252.0,0.2012412065145448,0.9055854293154518,1.149066907178834
254.0,0.2016430561750921,0.9073937527879145,1.1050593764638243



