experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.2875229021899197,1.3060118497324151,3372292,38.8268985748291
no_transformer,True,"[64, 128]",False,4,128,False,0.4420696794768256,2.0822975960251418,2180868,24.99990940093994
no_cnn,False,"[64, 128]",True,4,128,True,0.346043809600556,1.3631624229115722,3037700,34.98784065246582
no_pos,True,"[64, 128]",True,4,128,False,0.3013309872873256,1.2750159769338825,3370244,38.8025541305542
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3043507593005445,1.2616500490739715,3185540,36.68973255157471
bigger_cnn,True,"[128, 256]",True,4,128,True,0.2440387787276089,1.2737510301111554,3856388,44.367011070251465
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3057020972099859,1.4200473681025767,2777604,31.926258087158203
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.9022697587547716,1.4165176572204057,3966980,45.73125457763672
projected_dim_64,True,"[64, 128]",True,4,64,True,0.2603894627383355,1.3567145782687977,1461956,16.964862823486328
projected_dim_256,True,"[64, 128]",True,4,256,True,0.2871674460830581,1.2642935301646328,8765828,100.551118850708
small_default,True,"[32, 64]",True,2,64,True,0.3425923492460649,1.473538243189903,1174340,13.578316688537598
big_default,True,"[128, 256]",True,6,256,True,0.9040554790073904,1.408504526204252,11749764,134.79815196990967
