removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0717990574784009,0.3130957586528042,0.5738619628441264
64.0,0.0686460940237782,0.3089074231070021,0.5443488470213281
128.0,0.0841585839380707,0.3787136277213183,0.6037878888501668
192.0,0.0686089326842148,0.3487401970789666,0.5407800899380281
224.0,0.0718682129983658,0.3434069584926461,0.5690926293424435
232.0,0.07861545359586951,0.3537695411814128,0.5946203369533829
240.0,0.0985649588427302,0.443542314792286,0.6787508016491393
244.0,0.1275323182251828,0.5738954320133226,0.8312385877807595
248.0,0.1676553562966961,0.7544491033351325,1.0086756542492965
250.0,0.18775777708392585,0.8449099968776663,1.1050031682002277
252.0,0.2001538254426821,0.9006922144920696,1.1582507224967284
254.0,0.2030946976475555,0.913926139414,1.114799422700799



