missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06431551134440365,0.2894198010498164,0.5049111554959493,0.06186826536108361,0.27840719412487624,0.49499413858419095,0.06220803401660407,0.2799361530747183,0.4700242906328554
1,[10],[11],0.06327868599900237,0.28475408699551064,0.4978861708192017,0.079629053057143,0.3583307387571435,0.5772214877123258,0.08211122001408958,0.3695004900634031,0.5867376486184873
2,"[11, 3]","[13, 1]",0.07016751647820264,0.3157538241519119,0.5183037885660745,0.07644069181759651,0.3439831131791843,0.5430880582532612,0.07171241873885964,0.3227058843248684,0.5297957804295611
3,"[10, 1, 13]","[8, 5, 14]",0.07929096112112582,0.3568093250450662,0.5616621248180862,0.07883910282265981,0.35477596270196915,0.5783849857841531,0.08835285492720053,0.3975878471724024,0.6236505499305841
4,"[14, 12, 4, 10]","[4, 15, 6, 2]",0.06951887160127689,0.312834922205746,0.5378545777107507,0.09454327958530306,0.4254447581338638,0.6309187501029675,0.10098347610950559,0.4544256424927751,0.6507088121023715
5,"[11, 15, 6, 8, 12]","[4, 10, 3, 1, 2]",0.07765427066890684,0.3494442180100808,0.5885984201271488,0.12037293074533546,0.5416781883540096,0.7822913260769978,0.12641658271751266,0.568874622228807,0.7999459523508851
6,"[11, 15, 14, 7, 1, 12]","[2, 3, 5, 11, 14, 9]",0.08681735908952401,0.39067811590285806,0.5994960401721144,0.12256602288552133,0.551547102984846,0.7635232779376616,0.1411511604609364,0.6351802220742138,0.8448444472524538
7,"[4, 9, 8, 7, 13, 0, 5]","[7, 3, 9, 10, 5, 4, 14]",0.08687851151482201,0.390953301816699,0.5672666868073052,0.10561986840266156,0.47528940781197704,0.6971410974324764,0.112660431486383,0.5069719416887235,0.722565882154174
8,"[5, 13, 12, 7, 15, 4, 6, 1]","[6, 4, 5, 15, 12, 8, 1, 10]",0.08263125733627182,0.3718406580132232,0.568757278526083,0.11961549201574335,0.5382697140708451,0.7724272085855683,0.12997573532957482,0.5848908089830867,0.8012754859602154
9,"[14, 9, 11, 3, 5, 15, 13, 0, 6]","[9, 10, 12, 3, 13, 5, 0, 1, 11]",0.10010487863011683,0.45047195383552574,0.6384172119837717,0.12797049185189968,0.5758672133335485,0.8360895262645661,0.14191250227967397,0.6386062602585328,0.8723983009367205
10,"[2, 14, 0, 7, 4, 13, 5, 8, 12, 3]","[5, 7, 12, 2, 6, 1, 4, 15, 10, 13]",0.09216702918563867,0.414751631335374,0.58970213973976,0.1462995579036457,0.6583480105664057,0.9089416054874373,0.14889158557838755,0.6700121351027439,0.9004438894180541
11,"[5, 14, 1, 13, 7, 2, 3, 6, 4, 15, 9]","[13, 4, 12, 2, 6, 1, 3, 8, 0, 5, 10]",0.10433929059551336,0.46952680767981014,0.6649569660602702,0.15111217048561967,0.6800047671852886,0.9652571672329099,0.16919938966823242,0.7613972535070459,1.0099577119067256
12,"[0, 14, 1, 12, 9, 2, 4, 5, 11, 7, 8, 10]","[15, 8, 5, 7, 4, 6, 12, 9, 11, 2, 3, 13]",0.10267514942849272,0.46203817242821726,0.6790180687547053,0.18073413695323723,0.8133036162895675,1.0631465614102278,0.18155151921405252,0.8169818364632363,1.0261965372477182
13,"[14, 12, 0, 4, 2, 13, 6, 15, 1, 10, 9, 8, 3]","[12, 6, 2, 7, 11, 8, 3, 0, 9, 5, 13, 1, 14]",0.09563428712848396,0.4303542920781778,0.6266953905812305,0.16735688389442252,0.7531059775249014,1.0092427295627844,0.2079374828526163,0.9357186728367733,1.1129285610943385
14,"[8, 0, 9, 12, 13, 15, 5, 7, 10, 6, 4, 2, 14, 3]","[7, 5, 13, 2, 10, 1, 15, 8, 9, 0, 11, 4, 3, 6]",0.10406563936204478,0.46829537712920155,0.6628318769916238,0.1868469731604211,0.840811379221895,1.0968308143519374,0.20875440470011486,0.9393948211505169,1.1179478651468775
15,"[0, 4, 10, 12, 6, 14, 9, 5, 11, 1, 7, 3, 15, 13, 2]","[4, 5, 3, 2, 6, 9, 14, 11, 8, 15, 10, 13, 0, 12, 7]",0.1344581081982318,0.6050614868920432,0.8365032888721466,0.20748678529619097,0.9336905338328594,1.113156475638922,0.20858024097587477,0.9386110843914365,1.1147611295834887
