removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0692594787725128,0.3016676544763079,0.5217021959096518
64.0,0.0850088552092419,0.3825398484415885,0.6064371963786738
128.0,0.0649355481766812,0.2922099667950657,0.4957929652348193
192.0,0.0683023502028096,0.3073605759126434,0.5223084506279145
224.0,0.0833335088535871,0.3750007898411421,0.6068719298531946
232.0,0.07668397306150941,0.34507787877679236,0.5830402210850186
240.0,0.1033515105642054,0.4650817975389246,0.6906674087877217
244.0,0.12970249913782295,0.5836612461202032,0.8242831442543064
248.0,0.1644323144415996,0.7399454149871983,0.9877696490056714
250.0,0.18652858514501414,0.8393786331525636,1.095832512133955
252.0,0.2017525249646269,0.9078863623408212,1.1716714197221811
254.0,0.2028591059002161,0.9128659765509728,1.1104375558522577
