missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06152439377277871,0.2768597719775042,0.5026450340939796,0.06092691579248482,0.2741711210661817,0.48776547906061196,0.0614097472835151,0.27634386277581796,0.4816649241273714
1,[6],[11],0.06725092334450854,0.3026291550502884,0.4926609559792775,0.08728476290182084,0.3927814330581938,0.61340990172388,0.08132583750729024,0.3659662687828061,0.5921760630344596
2,"[4, 10]","[14, 13]",0.06469118079363989,0.2911103135713795,0.49341439813946625,0.07333142616568818,0.3299914177455968,0.5437950374705973,0.08715892969711575,0.39221518363702085,0.6321872216254165
3,"[9, 2, 1]","[14, 13, 3]",0.07996960190487591,0.3598632085719416,0.5716801594191467,0.08104008440158136,0.36468037980711615,0.5920147987861242,0.10548811787902643,0.47469653045561894,0.7005034618033731
4,"[8, 4, 12, 7]","[15, 7, 6, 1]",0.06730398856748217,0.3028679485536698,0.523008848193003,0.10280587391834493,0.4626264326325522,0.69213331210028,0.09564543503516984,0.4304044576582643,0.6397814123902427
5,"[4, 11, 15, 2, 3]","[2, 14, 7, 6, 5]",0.0764614488554366,0.3440765198494647,0.5720731771087875,0.09941699227388817,0.4473764652324968,0.6605815481001521,0.11674454366243087,0.5253504464809389,0.7405558102901663
6,"[0, 1, 7, 8, 15, 10]","[7, 12, 13, 6, 15, 10]",0.07848558873368951,0.3531851493016028,0.572616347415422,0.11232361893524215,0.5054562852085897,0.7309655594065242,0.126582385361661,0.5696207341274745,0.8132348437500884
7,"[8, 14, 7, 9, 1, 10, 3]","[6, 15, 10, 14, 8, 2, 9]",0.08751014641431117,0.39379565886440027,0.6232787032827417,0.11342063416829526,0.5103928537573287,0.7506055581678679,0.13383272720700698,0.6022472724315314,0.816893041438067
8,"[10, 3, 15, 0, 12, 13, 2, 5]","[2, 9, 14, 15, 5, 10, 11, 4]",0.08826691964173186,0.39720113838779336,0.6063228262095854,0.12425745269041763,0.5591585371068793,0.7987031496442426,0.13615646946370605,0.6127041125866772,0.8562162488761907
9,"[13, 0, 3, 5, 11, 10, 1, 9, 2]","[2, 4, 12, 3, 14, 6, 15, 8, 9]",0.08869674139261945,0.3991353362667875,0.5953365950896031,0.13953565890219588,0.6279104650598815,0.8633489370363638,0.16152745964299445,0.7268735683934751,0.9299174664123467
10,"[2, 3, 9, 14, 8, 10, 15, 6, 12, 11]","[8, 1, 9, 15, 0, 4, 14, 7, 13, 3]",0.10407573807221099,0.4683408213249495,0.6940507870917175,0.1390542548831351,0.625744146974108,0.8430699069047518,0.15027567586064502,0.6762405413729026,0.8767129663492941
11,"[10, 14, 0, 7, 8, 13, 11, 1, 12, 5, 9]","[12, 4, 2, 13, 15, 8, 7, 14, 5, 3, 0]",0.0925354548421268,0.4164095467895706,0.6408666329791807,0.16096596400558083,0.7243468380251138,0.9249033134694012,0.16883315433080387,0.7597491944886174,0.9609660048056764
12,"[15, 13, 9, 11, 5, 8, 1, 7, 4, 3, 0, 10]","[5, 1, 7, 8, 9, 15, 2, 6, 3, 11, 13, 14]",0.0975814817250724,0.4391166677628258,0.6365563901253385,0.17650863585695692,0.7942888613563062,0.9974707501705659,0.18237962818412287,0.8207083268285529,1.0140923662641292
13,"[8, 4, 9, 11, 12, 10, 1, 13, 14, 7, 3, 6, 0]","[8, 3, 11, 12, 14, 6, 9, 5, 2, 0, 4, 1, 7]",0.10794454555423012,0.4857504549940356,0.6923690291271327,0.18381222901552138,0.8271550305698462,1.0393965668014635,0.17894642123710156,0.805258895566957,1.0157875000847842
14,"[13, 14, 0, 1, 15, 7, 2, 3, 4, 10, 8, 11, 5, 12]","[14, 15, 13, 4, 0, 7, 3, 1, 9, 12, 5, 11, 8, 6]",0.09945379624200773,0.4475420830890348,0.6651060808239022,0.17855313903439113,0.80348912565476,0.9961866816219703,0.20404455843625616,0.9182005129631527,1.0944729172408054
15,"[1, 8, 0, 3, 6, 11, 15, 5, 2, 9, 7, 13, 12, 4, 14]","[2, 11, 9, 3, 13, 14, 4, 0, 6, 7, 15, 5, 1, 12, 8]",0.13397065608480546,0.6028679523816246,0.8220960381959923,0.19273984233377958,0.8673292905020081,1.059105131625846,0.19958195015657426,0.8981187757045842,1.0827398426147088
