experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.3056266441560744,1.2984039744377482,3372292,38.82705593109131
no_transformer,True,"[64, 128]",False,4,128,False,0.4463219435044214,1.8597852038217968,2180868,24.99994468688965
no_cnn,False,"[64, 128]",True,4,128,True,0.3780912465529075,1.3197655703529327,3037700,34.98796844482422
no_pos,True,"[64, 128]",True,4,128,False,0.2836040323077346,1.2908181386263775,3370244,38.802690505981445
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3707542985366312,1.3475906255740886,3185540,36.6898717880249
bigger_cnn,True,"[128, 256]",True,4,128,True,0.2685322610470271,1.2686425901999556,3856388,44.3671236038208
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3525142958513997,1.339736564507178,2777604,31.926313400268555
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.342939782467377,1.2872422034578257,3966980,45.731367111206055
projected_dim_64,True,"[64, 128]",True,4,64,True,0.3059452337551093,1.294574066725943,1461956,16.964946746826172
projected_dim_256,True,"[64, 128]",True,4,256,True,0.4039201712990046,1.3022350296572327,8765828,100.55120277404784
small_default,True,"[32, 64]",True,2,64,True,0.3572295591172955,1.4089325107281665,1174340,13.57837200164795
big_default,True,"[128, 256]",True,6,256,True,0.9360848801011338,1.414144048452317,11749764,134.798264503479
