missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.059295255690813065,0.9846153855323792,0.09332466125488281,0.9846153855323792,0.08650878816843033,0.9846153855323792
1,[10],"[11, 27]",0.019745955243706703,0.9846153855323792,0.02484605461359024,0.9846153855323792,0.020470449700951576,0.9846153855323792
2,"[11, 3]","[13, 1, 29, 17]",0.05350170284509659,0.9846153855323792,0.059538669884204865,0.9846153855323792,0.08036822080612183,0.9846153855323792
3,"[10, 1, 13]","[8, 5, 14, 24, 21, 30]",0.057007212191820145,0.9846153855323792,0.07277016341686249,0.9846153855323792,0.0026491587050259113,1.0
4,"[14, 12, 4, 10]","[4, 15, 6, 2, 20, 31, 22, 18]",0.03847513720393181,0.9846153855323792,0.03382019326090813,0.9846153855323792,0.08631119132041931,0.9692307710647583
5,"[11, 15, 6, 8, 12]","[4, 10, 3, 1, 2, 20, 26, 19, 17, 18]",0.05520373210310936,0.9846153855323792,0.07268515974283218,0.9846153855323792,0.09705628454685211,0.9692307710647583
6,"[11, 15, 14, 7, 1, 12]","[2, 3, 5, 11, 14, 9, 18, 19, 21, 27, 30, 25]",0.02577603980898857,0.9846153855323792,0.043183647096157074,0.9846153855323792,0.006940753199160099,1.0
7,"[4, 9, 8, 7, 13, 0, 5]","[7, 3, 9, 10, 5, 4, 14, 23, 19, 25, 26, 21, 20, 30]",0.027191435918211937,0.9846153855323792,0.060696255415678024,0.9846153855323792,0.07267007976770401,0.9846153855323792
8,"[5, 13, 12, 7, 15, 4, 6, 1]","[6, 4, 5, 15, 12, 8, 1, 10, 22, 20, 21, 31, 28, 24, 17, 26]",0.014310052618384361,1.0,0.0525021068751812,0.9846153855323792,0.09700700640678406,0.9846153855323792
9,"[14, 9, 11, 3, 5, 15, 13, 0, 6]","[9, 10, 12, 3, 13, 5, 0, 1, 11, 25, 26, 28, 19, 29, 21, 16, 17, 27]",0.06629345566034317,0.9846153855323792,0.055418163537979126,0.9846153855323792,0.07342008501291275,0.9846153855323792
10,"[2, 14, 0, 7, 4, 13, 5, 8, 12, 3]","[5, 7, 12, 2, 6, 1, 4, 15, 10, 13, 21, 23, 28, 18, 22, 17, 20, 31, 26, 29]",0.04822938144207001,0.9846153855323792,0.07527577877044678,0.9846153855323792,0.10532490909099579,0.9692307710647583
11,"[5, 14, 1, 13, 7, 2, 3, 6, 4, 15, 9]","[13, 4, 12, 2, 6, 1, 3, 8, 0, 5, 10, 29, 20, 28, 18, 22, 17, 19, 24, 16, 21, 26]",0.07397434860467911,0.9692307710647583,0.07358193397521973,0.9846153855323792,0.12253133952617645,0.9846153855323792
12,"[0, 14, 1, 12, 9, 2, 4, 5, 11, 7, 8, 10]","[15, 8, 5, 7, 4, 6, 12, 9, 11, 2, 3, 13, 31, 24, 21, 23, 20, 22, 28, 25, 27, 18, 19, 29]",0.014926910400390625,1.0,0.09286820143461227,0.9692307710647583,0.10911888629198074,0.9846153855323792
13,"[14, 12, 0, 4, 2, 13, 6, 15, 1, 10, 9, 8, 3]","[12, 6, 2, 7, 11, 8, 3, 0, 9, 5, 13, 1, 14, 28, 22, 18, 23, 27, 24, 19, 16, 25, 21, 29, 17, 30]",0.12624621391296387,0.9846153855323792,0.07494019716978073,0.9846153855323792,0.11704178154468536,0.9692307710647583
14,"[8, 0, 9, 12, 13, 15, 5, 7, 10, 6, 4, 2, 14, 3]","[7, 5, 13, 2, 10, 1, 15, 8, 9, 0, 11, 4, 3, 6, 23, 21, 29, 18, 26, 17, 31, 24, 25, 16, 27, 20, 19, 22]",0.08190976828336716,0.9846153855323792,0.10115457326173782,0.9692307710647583,0.3498533070087433,0.892307698726654
15,"[0, 4, 10, 12, 6, 14, 9, 5, 11, 1, 7, 3, 15, 13, 2]","[4, 5, 3, 2, 6, 9, 14, 11, 8, 15, 10, 13, 0, 12, 7, 20, 21, 19, 18, 22, 25, 30, 27, 24, 31, 26, 29, 16, 28, 23]",0.22271578013896942,0.9230769276618958,0.6801280975341797,0.8615384697914124,1.9640229940414429,0.20000000298023224
