missing_sensors,leds_removed,pds_removed,test_loss_LEDs,test_accuracy_LEDs,test_loss_PDs,test_accuracy_PDs,test_loss_both,test_accuracy_both
0,[],[],0.16298189759254456,0.9848484992980957,0.2701828181743622,0.9696969985961914,0.19557462632656097,0.9696969985961914
1,[4],"[15, 31]",0.1778588443994522,0.9848484992980957,0.16658681631088257,0.9848484992980957,0.15995706617832184,0.9848484992980957
2,"[6, 2]","[8, 3, 24, 19]",0.16818460822105408,0.9848484992980957,0.1946597844362259,0.9848484992980957,0.21883757412433624,0.9696969985961914
3,"[1, 4, 7]","[2, 13, 8, 18, 29, 24]",0.17579121887683868,0.9696969985961914,0.23963062465190887,0.9696969985961914,0.17820702493190765,0.9848484992980957
4,"[15, 5, 9, 11]","[5, 9, 1, 2, 21, 25, 17, 18]",0.20635131001472473,0.9848484992980957,0.1611609011888504,0.9848484992980957,0.18051496148109436,0.9848484992980957
5,"[14, 11, 8, 13, 3]","[14, 10, 3, 2, 4, 30, 26, 19, 18, 20]",0.14680242538452148,0.9848484992980957,0.14162762463092804,0.9848484992980957,0.18297943472862244,0.9848484992980957
6,"[11, 0, 1, 6, 5, 3]","[2, 15, 4, 1, 3, 11, 18, 31, 20, 17, 19, 27]",0.1880042552947998,0.9848484992980957,0.17959818243980408,0.9848484992980957,0.20211170613765717,0.9848484992980957
7,"[4, 11, 1, 7, 10, 6, 14]","[2, 12, 13, 4, 6, 1, 11, 18, 28, 29, 20, 22, 17, 27]",0.18132677674293518,0.9848484992980957,0.19198469817638397,0.9848484992980957,0.170846626162529,0.9848484992980957
8,"[10, 7, 5, 1, 0, 2, 8, 14]","[0, 6, 3, 8, 9, 7, 4, 12, 16, 22, 19, 24, 25, 23, 20, 28]",0.19467149674892426,0.9848484992980957,0.15361706912517548,0.9848484992980957,0.20505638420581818,0.9848484992980957
9,"[11, 3, 9, 2, 14, 0, 8, 4, 12]","[4, 10, 13, 5, 3, 11, 9, 7, 14, 20, 26, 29, 21, 19, 27, 25, 23, 30]",0.15106455981731415,0.9848484992980957,0.1998063027858734,0.9848484992980957,0.19017234444618225,0.9848484992980957
10,"[3, 7, 12, 2, 8, 9, 4, 0, 13, 5]","[0, 7, 3, 13, 2, 4, 8, 11, 9, 10, 16, 23, 19, 29, 18, 20, 24, 27, 25, 26]",0.1621575802564621,0.9848484992980957,0.1990870088338852,0.9848484992980957,0.17571616172790527,0.9848484992980957
11,"[11, 5, 10, 7, 14, 2, 4, 8, 12, 15, 1]","[14, 13, 0, 4, 5, 12, 2, 15, 10, 7, 9, 30, 29, 16, 20, 21, 28, 18, 31, 26, 23, 25]",0.15486598014831543,0.9848484992980957,0.21004092693328857,0.9696969985961914,0.21870173513889313,0.9545454382896423
12,"[5, 15, 14, 0, 7, 8, 12, 11, 6, 9, 1, 10]","[7, 6, 14, 5, 8, 4, 11, 10, 2, 15, 12, 13, 23, 22, 30, 21, 24, 20, 27, 26, 18, 31, 28, 29]",0.17126668989658356,0.9848484992980957,0.1962248682975769,0.9848484992980957,0.2998153865337372,0.939393937587738
13,"[5, 15, 10, 11, 14, 13, 7, 8, 1, 6, 0, 4, 9]","[10, 12, 5, 14, 7, 8, 1, 0, 2, 3, 6, 11, 9, 26, 28, 21, 30, 23, 24, 17, 16, 18, 19, 22, 27, 25]",0.1735912710428238,0.9696969985961914,0.16540224850177765,0.9848484992980957,0.18342646956443787,0.9848484992980957
14,"[6, 12, 14, 5, 15, 9, 2, 4, 13, 7, 11, 0, 8, 3]","[0, 5, 13, 11, 7, 10, 14, 3, 15, 6, 1, 12, 9, 8, 16, 21, 29, 27, 23, 26, 30, 19, 31, 22, 17, 28, 25, 24]",0.1922958642244339,0.9848484992980957,0.4272454082965851,0.8787878751754761,0.5128264427185059,0.7878788113594055
15,"[15, 11, 8, 1, 10, 14, 12, 3, 2, 13, 5, 9, 0, 6, 7]","[2, 5, 7, 10, 11, 14, 12, 0, 3, 8, 6, 4, 15, 13, 1, 18, 21, 23, 26, 27, 30, 28, 16, 19, 24, 22, 20, 31, 29, 17]",0.23168747127056122,0.9696969985961914,0.18593160808086395,0.9696969985961914,2.0376980304718018,0.19696970283985138
