removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0677890626724282,0.3050507820259269,0.5266875735505131
64.0,0.0635450471759851,0.3059527122919333,0.5008233405487572
128.0,0.0967790697834919,0.4355058140257137,0.6801348414721258
192.0,0.0658991117729641,0.3365460029783386,0.526868640303881
224.0,0.0677458898336311,0.3548565042513401,0.5292008441762418
232.0,0.08230917320904545,0.3703912794407045,0.627921747641819
240.0,0.1105350982351868,0.497407942058341,0.7466895375888687
244.0,0.13102307138890207,0.5896038212500593,0.8318354777291848
248.0,0.1699661796922459,0.7648478086151069,1.024855373248119
250.0,0.19210131665327257,0.8644559249397266,1.1368393240412404
252.0,0.2004871024904817,0.902191961207168,1.1688582059732648
254.0,0.2027709781565334,0.9124694017044004,1.113839302967092
